ID,FSCN1,ZYX,ARHGEF15,BGN,TMEM184B,CDC42BPB,RRBP1,ELK3,AASS,Type
S66,6.150844455,7.142088027,6.742245077,8.390472976,6.602780922,6.363673316,7.715744037,5.976819563,5.835045352,1
S67,7.007120498,6.626070888,7.155885323,8.108960213,7.025152196,5.733397254,6.932386916,5.871341955,5.746245953,1
S68,6.939830219,6.007302137,6.752490618,7.959026749,6.571430012,5.903849853,6.980081872,6.125472129,5.840009431,1
S69,7.018422072,6.931068502,7.427944295,8.846166724,7.814163047,5.518214818,7.162471431,6.364834068,4.488972079,1
S70,7.12217826,6.384723191,6.674794148,8.932518495,7.711370786,6.798804336,7.764496998,6.090679527,5.070912054,1
S71,6.10330347,6.438977507,6.845178007,8.616407646,7.248273496,6.597085831,5.574058693,6.969174214,6.83320978,1
S72,6.579585947,6.161467878,6.000631311,7.896334988,6.678973484,5.969537237,6.459160581,6.052425927,6.143588007,1
S73,6.311007875,5.602115415,6.094150275,7.579520878,6.727134093,5.958312504,6.023132704,5.22045302,6.53370564,1
S74,6.230511277,6.22819917,6.400526989,7.847360396,7.28644924,5.625728059,5.803124211,5.184928637,6.403224906,1
S75,5.917244106,6.254637353,5.724875228,8.138432684,6.765789467,5.686155123,6.505910084,5.643928177,5.629404217,1
S76,4.802621806,5.917519553,6.472306966,7.908638902,6.191277871,5.874404782,6.255480611,6.542498813,6.938709765,1
S77,6.695452883,7.213315318,6.11871216,8.456374653,7.118581386,5.863841092,6.889007094,5.995595347,5.671407515,1
S78,6.73905831,7.125703127,7.202372798,8.456374653,7.773294471,6.224980273,6.652026677,6.073166216,5.686290166,1
S79,6.463897452,6.249811463,5.076313245,8.507135435,7.228929422,6.256583336,7.405816762,5.472449588,5.697312556,1
S80,6.04578902,6.408693203,5.704088516,7.896334988,6.611098917,5.204549139,7.1896385,5.255144286,5.132754843,1
S81,6.673940983,7.532382966,6.718895529,8.737834502,7.042325247,5.948094274,7.009387423,5.271723795,6.0353394,1
S82,6.482092459,6.711242525,6.430868574,8.311171341,6.965417033,5.890774253,6.226360239,5.671454929,5.718367738,1
S83,6.979861128,6.648126808,7.467738389,8.616407646,8.129620726,5.846119786,6.892339012,5.917645004,5.217137592,1
S84,6.532159858,6.342308416,5.390910605,7.359512889,6.236604924,4.400843499,5.999922261,5.42284904,5.967428151,1
S85,6.800120636,6.609046307,5.779903719,8.535513659,7.203363919,5.945930456,7.160454008,5.501125131,4.88265302,1
S86,6.457051824,6.961719516,6.735347373,8.535513659,8.191253631,5.364072742,7.143500113,6.024659746,4.915373129,1
S87,6.407645782,7.244158553,6.630226865,8.456374653,7.361957986,5.905904381,7.090533097,5.880276135,4.884958185,1
S88,6.754557478,6.78174775,6.067135735,8.456374653,6.639550042,5.633027532,7.056773769,5.292783527,4.95329015,1
S89,5.665537664,6.507750621,6.470813462,8.804337288,6.867252878,6.735925052,7.489362892,5.991987109,5.920617714,1
S90,6.432655607,6.821493806,6.834869581,8.646988152,7.598738264,6.587428628,7.142279778,6.103174307,4.758160079,1
S91,6.980944102,6.381982611,6.267806909,8.846166724,6.783479962,6.010145829,6.620313514,5.652241503,5.885347851,1
S92,7.307818081,6.621258689,6.145866984,8.412531447,7.581931146,5.494942659,6.721495798,5.343383954,4.905617802,1
S93,6.62415876,7.304942441,7.011463985,8.434787964,7.777633793,5.358868972,6.624127717,6.431822098,4.033618062,1
S94,7.650885014,7.268780362,7.489475415,8.804337288,7.069742943,6.480967981,7.161543899,6.180408865,5.592776608,1
S95,7.388171597,6.948474582,7.637120014,8.890152589,6.961528103,6.333754598,6.732678033,5.612738921,5.325487704,1
S96,6.543152995,7.04502397,5.814244143,8.737834502,7.636502315,5.887142307,6.589327792,5.397684897,5.589294776,1
S97,5.258200619,6.43378305,5.719250741,7.800975084,6.332107571,6.384185265,7.04567562,5.571530121,6.308897362,1
S98,6.392025283,7.616152102,5.962667067,9.044272831,7.304270718,5.805371326,6.959843994,5.669622705,6.088722449,1
S99,5.8013181,5.897859362,5.938012706,8.332448155,6.507476167,6.056708493,6.491070847,6.195021403,5.730404254,1
S100,6.299958258,6.685072812,6.392765426,9.044272831,7.071384326,6.916935487,6.648356112,5.471801555,5.503890942,1
S101,7.16436447,7.90367656,5.480129724,8.804337288,7.179929348,5.776318005,7.470780775,6.768908648,4.473870157,1
S102,6.821972452,6.505797261,5.663330295,8.706716543,7.360467264,5.803120523,6.884696973,4.130827316,5.823000702,1
S103,7.49647036,7.162231286,6.463335328,8.276502792,6.89476386,5.785197564,6.637322635,6.19974484,5.909149426,1
S104,6.259622548,6.476807667,5.925767812,8.646988152,6.148283503,5.580978688,6.558353502,5.788608678,4.442560656,1
S105,6.372695368,7.114780603,5.545117707,7.859135349,7.030349814,5.116984015,6.983784345,6.397264274,4.920005624,1
S106,6.086060812,6.862846085,6.217424244,8.082869272,7.564138578,6.010145829,6.778472523,5.719858819,6.302717513,1
S107,6.02439189,5.923116041,4.879999906,7.968938112,6.693819509,5.990882444,6.683806848,5.543086623,6.167974494,1
S108,6.77444651,7.425636306,5.771695028,7.947256485,7.46003574,5.683899482,7.451994611,5.669622705,5.615562269,1
S109,8.028247635,7.471906635,5.178493378,9.044272831,6.873181362,5.913610864,7.392649142,5.732670051,5.989608833,1
S110,6.692110456,6.514133039,6.257951174,7.509147633,6.788110553,5.258840421,5.256958755,5.288180127,5.308249407,1
S111,7.059150789,6.120200061,7.144416373,8.095247658,7.847941432,5.476917078,6.958884902,5.964833582,5.359356729,1
