"ID","Type","GFAP","SLC5A3","KCNE4","GOT1","CKMT1A","SST","YWHAH","RGS7","HSPB3","RAB3B"
"GSM119615",0,5.35536501634088,3.16280282265919,2.98745501224868,4.7984432719459,4.36779634612099,4.76990611974863,5.97401191726262,4.11609808672399,4.09567682348765,2.08922355283106
"GSM119616",0,5.6236986143637,3.87911106926719,2.30832827146905,5.22687126499146,4.77147419968221,5.42550537806423,5.64730761147762,3.79621912896982,4.07222498854889,5.35677352481507
"GSM119617",0,5.54825659960924,4.19412969655656,2.1255955524678,4.13847059437495,4.39905906613475,3.87537722315639,5.05407218769458,4.35511796667857,3.0970860333915,3.66836305198227
"GSM119618",0,5.87230311451287,4.63555059770937,2.39827116153659,3.74614286563478,4.32388718357634,4.20418025629509,5.14909632510893,3.33616280726252,4.21958522800511,4.2744897325449
"GSM119619",0,5.72457990659232,4.51451354292054,4.15329567815131,6.245750368772,5.5953212616045,6.43974767135252,6.73187811651947,5.29623358236636,4.53023440200366,5.78483822639948
"GSM119620",0,5.2006362442239,3.97828012988318,2.90410068924869,4.43228377499994,4.73552480965154,4.52831455142144,5.64610150670442,3.54659389004184,4.16938965742681,4.67622697138596
"GSM119621",0,5.45118016327312,4.52338904413467,3.07370930101524,4.24941903511062,4.45723865941761,4.93069369924314,5.47742636466508,4.34264221305591,3.56155044264517,4.86996440726636
"GSM119622",0,5.09811905132343,3.91268530815607,1.2177389359614,5.61280483342722,5.03302213355195,5.36311062713384,5.94460263255504,4.5361169318787,4.70215104591007,4.41929827124058
"GSM119623",0,4.87715469936283,3.66815728197055,1.46226532360454,5.36320774653932,4.6354473594404,3.87887162434785,6.40636507157674,4.29836976997181,4.10404664439291,5.95843820920883
"GSM119624",0,4.90561063035208,3.35167996621346,2.02911748021902,5.85388253431991,5.03186424727504,4.84447588199142,6.02994999995494,4.48827544580688,4.53473242599453,5.41919257248597
"GSM119625",0,5.3648311429782,3.74798406403029,1.29908006246368,5.52720708226073,4.9887464314466,5.27088638562871,5.63176865992286,4.36863356352211,4.34394606544512,4.04355543698518
"GSM119626",0,4.31285106415738,3.04621148046838,2.20877556015036,5.21132098466901,4.52659872563629,4.94502441774723,6.36877969177187,4.84255674541956,2.62506092964145,5.37780789632108
"GSM119627",0,4.92075045413297,4.17924474124064,2.94026505871294,5.64548191443793,4.76798191601707,4.31152992805003,6.39716594045271,4.54076083971727,4.42351094820979,5.92283531348708
"GSM119628",0,5.34079726846966,1.41280323415403,2.78579555283419,5.75230972160242,4.91606333256197,4.49474477341377,7.14418180836849,4.38338919945944,2.08062584635004,1.72821999035135
"GSM119629",0,6.39671850321169,3.68692551414088,1.6604036049539,5.16168123728169,4.98491859136548,3.71469737234772,5.99311101706879,4.48829573495175,2.17128952596736,4.1607218488622
"GSM119630",0,6.59588705539968,3.90605546201002,1.74898864501302,4.02843611828727,4.34774101218685,3.21687170183722,5.52702659327292,3.00889734011783,2.92248066712379,4.50298429127792
"GSM119631",0,6.18469145094551,1.80492809969106,0.680730930426263,5.41161912780105,5.02375281022513,4.62798852579745,6.93000126316901,4.20048249452306,2.99616495923514,2.16096775019717
"GSM119632",0,5.42000884864495,3.28618904948182,2.54643542531326,5.44730078809676,4.88886919102426,4.44685782363466,7.13986896087503,4.57703548685497,3.24153183783472,4.67443139942747
"GSM119633",0,5.43642175552393,3.18641785006311,1.6041063436629,5.36256306725218,5.70494563578893,3.77831603467745,5.97451825535801,4.02454852915798,4.1894371155175,3.07108907963424
"GSM119634",0,5.64350868864575,2.4266799076961,1.40300300600778,5.08278988568905,4.77945314971443,3.9746213415569,5.95569946486107,5.17666021556687,2.56923803232208,3.66365980793226
