"ID","Type","S100A8","ADM","IFNGR2","C3AR1","TNFAIP6","SLC43A3","MAFB","MMP9","IFITM3","ALPL","ANPEP","EGR1","TLR8","STEAP4","ADAM9","PGLYRP1","TPST1","ANKRD22","RPS27A","CXCR4","CNOT6L","PMAIP1","CD83"
"GSM4683511","0",8.34313756580078,4.912091601034,6.74444317738385,5.70006920378737,4.37048663665626,5.64108411142353,6.14230005919048,5.9710852166162,7.18365349075687,5.57592682416924,6.40091522810085,4.38528393538688,6.38344379932007,5.70446524780114,3.92398659359949,4.8751565725735,2.44207745771517,2.76675569817529,8.00629360890099,7.76382724458865,5.75018853623476,3.53745201981607,4.78500842407464
"GSM4683512","0",9.19197811866533,5.67296623411975,7.12481877334859,4.81713407785391,5.1191246219368,4.71324380212943,4.9681577308811,5.28044919812778,7.88471941861587,4.68229327992061,6.36002854743498,4.75175196592772,6.80380371719807,6.70734186132698,4.26839024934721,4.25189641346907,2.93772088414509,2.59312794855734,8.86127349150444,8.57638782055045,6.03891157812291,5.11935680938412,4.81002971281668
"GSM4683513","0",9.48886291254476,5.37603464826827,7.34633321998946,3.82992574158381,5.18428460025914,4.43949325523094,4.92660756209105,5.55559125431699,8.50599580885244,5.92948138321544,6.46856499147525,4.01754938387223,6.13862524107641,6.40252594716119,3.66273434321136,5.32041848184318,3.21812099294495,3.00510514781239,8.92501502873043,7.9289797625288,5.88270884575937,4.93103203529165,4.39206622697202
"GSM4683514","0",8.64892472502237,5.4826183689291,6.98235225352774,4.92793651410315,4.12523078244485,3.89622323993276,4.57568175077263,5.81721154006265,7.21260358313318,5.24361545669741,6.01126870575366,3.55074680090381,6.39039134142943,6.90935939862461,3.5714827825655,4.22773916881147,3.82039724621908,2.71214737667339,8.55703952120874,8.1415657587316,6.25654012807373,5.08207051064274,4.02575417778501
"GSM4683515","0",8.64358486318171,4.86753180762819,7.0507048574339,3.60210204658074,4.22544958505621,4.57639249965174,5.14970159330191,5.4239094804754,7.70397412626115,4.61477836121676,6.76801017191939,4.30652901813062,7.1187192722383,6.67759203241458,3.70595434197808,4.63513997679595,3.17646200116537,2.40520042515861,8.15863925322425,7.95023886598374,5.85916067454043,4.96436103963406,4.45494757788878
"GSM4683516","0",8.99218268698161,5.72805667239137,7.51707746931613,4.15170321568339,4.48282177572593,4.54487989981981,5.96864030332899,5.74608930694739,7.16530835900074,6.21650406466727,6.70429602871663,3.99293528938908,6.82340393934525,6.24076337980457,4.08677414893335,5.08645741424799,4.00676338184937,2.95498071991398,8.39203746397829,8.62634433021895,5.86907078726685,4.8827464987781,4.48634492668363
"GSM4683517","0",8.46644432011183,4.70998514654274,7.06808899749911,4.15793388235891,4.23472862986908,5.23941493625855,5.7392347135148,5.37503979967345,7.96749488451219,5.3275161784139,7.18177750909946,5.52346474216914,6.24514789857246,5.9467307233555,3.97094728100203,3.98996893217223,3.53391680931738,2.05120580317816,8.32023222469402,8.00846688945287,5.7855680416755,4.18490920462273,4.83005346180838
"GSM4683518","0",8.52941678914083,5.37715216680052,7.43100384434265,5.92397728255944,4.54812859616455,5.29475218314224,5.78490198858551,7.16131216810769,6.86106004222296,5.46691492593099,7.51586669583736,4.31445775086958,6.86635049664449,6.30357098521138,3.74173571254989,6.62994134971657,3.40089942276511,3.14494169961381,7.78669166781502,8.4851222639691,5.46866277643107,4.88516480870658,4.8908606349051
"GSM4683519","0",9.8585222054358,5.52306755010607,7.2292692979088,4.89559135424273,5.33691871899775,4.83404332972254,5.90561137399358,5.96108839796878,7.73364681488151,4.59371404381204,6.89239580857174,4.15123260657721,6.7093137913129,6.41576068278029,4.56961641941026,5.59116459046154,3.77690350767708,3.75504582903942,8.66737707809911,8.03979413491317,5.48301262156466,5.37865709037898,4.58465654439236
"GSM4683520","0",8.55680536589638,5.2043737416938,7.22473094336317,5.13393000087641,4.54904431335642,5.57095950600859,5.7466351676023,5.41296016633893,7.33290786764569,5.61814959028619,6.87456012517628,4.39087317997526,6.72781051681375,5.99752759262665,3.92090190844745,5.38376513401937,3.29402149717689,2.07131490891713,8.12876459591262,8.12124514530707,5.7429290809579,4.03450836833656,4.6896923848565
"GSM4683521","0",9.14900788027303,5.92598420258887,7.43100384434265,4.57354030355272,4.83471696797565,4.64571247887084,6.10103003555887,5.16241406033111,7.86742382384306,5.7206676107384,6.35211626541338,5.24764135710014,7.01993926409944,6.62916085634467,4.11596162951918,5.2739892483765,3.51852785469168,2.78074507990874,8.36557488928504,8.16269124164819,5.85916067454043,4.8057587725535,4.86483580927405
"GSM4683522","0",8.5443783350597,4.67646070720042,7.12860084433075,5.43414377340746,4.16697247151325,4.33519489229222,5.72677597668775,4.96151587207814,8.5351832205176,5.05256978100317,6.59581074767747,4.66166196057098,6.32929216197,5.15509055966526,3.525498402569,4.70086252217208,2.63601171787147,2.06988695740489,8.55362520355838,8.29675610834183,6.09680798129975,3.77353760238323,4.661881214459
"GSM4683523","0",8.25208404774623,4.02766114514607,6.79307096808542,4.82263089170769,3.12386211592292,5.06051607196065,5.91959189716007,5.09090800167549,7.90086767807671,4.43074400885789,5.9781583575965,4.58896940449817,6.13198150244591,5.935061003291,3.31922580935607,4.75776810604477,3.66508613694217,1.45186940082683,8.34734601872819,8.43554035264277,6.3377415998407,4.03450836833656,4.84310350919555
"GSM4683524","0",8.26723305515914,4.45567468578945,7.14843957842055,5.07389388858717,3.93964477329119,4.70186337119987,5.80172762692878,5.09090800167549,7.7934897777241,4.41092494179321,6.16695788327417,4.27097514330032,6.01788859874373,6.08320162179105,3.63034108413983,4.06676123212754,3.06360613087215,2.18584326354373,8.3286863785903,7.98139520414489,5.5219928712217,4.64261691537526,4.86116992716222
"GSM4683525","0",8.49829790576539,5.38098235013115,7.35094327888152,5.90138825165048,4.48617728855827,5.49030685670723,6.3503695030192,5.55913470813917,8.30521804559899,5.54867685665694,6.39197532563771,4.76480209161832,6.92441567624588,6.19944870746822,4.05449838838561,4.12444269650045,3.76292659200064,2.18026436456422,7.80200392057785,8.15001649682319,5.61431056839817,4.56191064789632,5.41060783470626
"GSM4683526","0",8.32654657370421,4.39955454226239,6.90506816083764,5.41166079265231,3.3717399798954,5.11715324132185,6.48392074746538,4.26508843345308,8.50103638081351,5.01815048334926,6.74753157866332,5.46790704047903,6.63457760656505,5.55209887313267,3.63529602276184,3.00577240266675,3.1883818228142,2.82327860192065,7.81082597541626,7.62000642138783,6.22849059440538,4.69597985270657,4.57938707190701
"GSM4683527","0",8.40535789374885,4.46356886862651,6.8102626674,5.35622013903604,2.72763049231967,5.36091020421861,6.86675191003518,4.61921333287739,7.3617570621758,5.08637603035785,6.50872929512781,4.88765298086402,6.58623156990618,5.64090562873881,4.14184970135534,3.28186632844174,3.07980018209511,1.86214187106351,8.06157684225079,7.82510172982426,6.11651182991919,4.26650608031934,5.65324475748348
"GSM4683528","0",8.372496859589,5.56633898622266,7.36528508566172,5.56234821475554,5.15641576608097,4.23770620411724,5.04825975875736,6.56627167768375,7.33028485674912,7.03017418083108,7.20368510054682,3.78307478816398,6.96096307054623,6.54473492568367,3.63312579862942,6.19427867947707,4.20976054626179,2.04134413611009,7.83625966888411,8.7016834653456,6.1360863312928,4.7460175494682,3.88475487393239
"GSM4683529","0",8.2382262273242,3.95590599687348,6.77738935998665,5.37328861251079,4.08538220920859,4.79957612935454,6.21615957197563,4.18456429190124,8.44872421358331,4.05962725909698,6.298348657111,3.97861816285394,6.30979493207452,5.51085475312351,3.46488850930442,2.88864137912516,2.95602188359688,2.74172078652147,8.31355320645481,8.45319133947198,6.62511974895765,4.15223626412746,4.93315733519971
"GSM4683530","0",8.15350199843005,4.78555927864829,6.7050564810738,5.38441708799474,3.79324125128322,5.09217526521635,6.0904666920441,5.02877129032087,6.67222599224203,5.02565530695287,7.22892293731166,4.95961139478474,6.43385622264306,4.68445764610665,3.85484163602109,3.00473584485947,2.12448313253055,2.36074606735565,8.19770890718938,7.96590203901564,6.36065748267253,4.11129959005868,5.13936799983165
