"ID","Type","HTR2B","CA3","BHLHE22","DPYS","TIMP4","CXCR5","AKR1B10","CCDC82","ESM1","CTNNB1"
"GSM2040792",0,3.48685887113356,4.95727812799941,6.38034695902866,2.91851400896597,5.22569632292585,3.76841834802383,6.9149047258971,5.54970947444596,3.26839060711034,8.39479545856902
"GSM2040793",0,2.73590945682258,4.87591850709605,3.14028976518276,2.65008261083384,5.60839635034494,3.43389617328369,7.92328848382921,5.57716718900383,6.13711615197782,7.95434180845298
"GSM2040794",0,3.60136149186219,3.85691485820312,5.19336102908725,3.86714983988438,5.38146636335284,3.52160697474504,8.57578555109647,4.95865721854713,6.14012130026446,7.6163113577839
"GSM2040795",0,3.14842024073595,4.37530756557079,4.61101863575335,4.35389807339813,5.13473922272104,5.29615807570763,7.41898876798141,5.22851624798008,5.0763901226221,7.69590470019208
"GSM2040796",1,4.18852878841464,5.64187846512976,6.76231802691915,5.45858459409633,9.05238613842661,5.66467674809747,15.5054186357557,5.19742292325835,3.16955629025555,7.20237583431507
"GSM2040797",1,3.5666201418819,5.21777768157983,6.13328051626467,5.22693115634163,7.05814334217877,7.25096702039037,12.0103935566401,4.96818198992749,4.77977187473405,7.1161253949341
"GSM2040798",0,4.05251994169393,6.14537406405806,3.56352255885721,3.05148964297304,5.25293927885312,4.19183599028508,7.9303561514797,5.34536821377481,4.02709861069606,7.35499003059146
"GSM2040799",1,3.17881426058502,6.58657730266486,6.15345217889667,3.50449727157602,6.13889874518304,4.03707597030124,7.07572237123427,5.29300715171151,3.73588300615721,6.98963978636003
"GSM2040800",1,5.45152444875479,6.90597129530597,6.59938918846699,4.5867220463043,6.05259984345453,4.39803563564786,5.92018035992758,5.18701360553469,6.64068368676741,7.64035332839469
"GSM2040801",1,4.83357369009556,6.94048671805312,6.57569844094051,4.30363160229735,5.34073863031575,6.21751107139886,5.34539768434201,5.26922654479569,6.54501340484284,7.43820767600756
"GSM2040802",1,3.91724934086428,5.35953878733564,6.45189682793145,6.5054679348761,5.62376881731658,3.82582087901829,5.64786241375016,5.00821807223146,4.96715139527944,7.07345179064416
"GSM2040803",1,6.0452356270853,6.40192279793137,7.57679383318738,5.02578244442889,5.62043384225422,6.14434818206119,5.03857824107235,5.21909088899074,5.79622613733899,7.2100806548897
"GSM2040804",1,4.05160844064081,4.63823117700593,5.89448116718905,3.72271335719011,5.63155199323927,3.70108779340211,6.65608953067091,5.52538448050103,4.19739369431545,7.34234046747232
"GSM2040805",1,5.10329440235722,6.26003300570115,6.16793743126379,5.12681354310659,6.37014895354169,6.69627019315002,5.42610562685443,4.99489549281303,3.39293537894388,7.08259394197105
"GSM2040806",1,8.96557156820203,6.93189597608848,7.29971787500174,6.40624797572041,7.6587087669574,4.27219570239325,5.74733310670051,5.04849406161295,4.01486479921789,7.77899506399614
"GSM2040807",1,4.66306996816872,6.73179623762021,6.89433233875369,5.54076178996475,7.48576358273834,3.68388161741426,5.37297866843688,6.51768144603444,6.64387277298525,9.07420989622907
"GSM2040808",0,3.71714887437469,5.68646068383169,5.37609470044292,3.17117114699874,5.88327842763362,4.10131370027489,6.2765448096609,6.07329680521311,4.75165334499269,7.52272938879047
"GSM2040809",1,4.56985430529945,5.92776451344699,8.06964836822494,4.68956487454541,6.26085158579997,6.91570820116465,5.43809484633563,5.82645510699567,4.72851054690551,6.83044417114613
"GSM2040810",0,5.13631975522839,5.33406301772069,6.46479850552999,3.35691188447871,5.72881579146689,3.97725619450279,7.79733094295015,6.09601192530334,6.4007313822564,7.08735234318982
"GSM2040811",1,6.62672168750275,4.2868015344958,7.19028536738535,5.97098212369875,5.29484783953501,6.28702332353899,6.40569562445807,7.76824645143281,6.7159615377551,8.08677666575047
"GSM2040812",1,4.47082764336563,6.66176761690871,7.51329396705065,5.76480685091241,5.4809315121968,6.28168295923095,4.8426896019325,5.68615574150056,6.75297386021244,8.59265318758916
"GSM2040813",1,6.72623974093518,8.0331620040187,7.45899232091909,5.91231617380399,6.90515842281475,5.45823957560886,4.21895536148703,6.14665020538813,4.69984511938676,6.87492782258142
"GSM2040814",1,5.95865018333,6.9293907356274,6.90381504755899,5.06134251241466,7.64693345516284,5.69818381504681,5.45694384141069,5.79190987571636,5.89109074057856,7.502978415054
"GSM2040815",1,5.19955319954157,6.50895035727258,7.68809627475413,4.39422560776308,6.49232073942624,5.98231079955875,5.15496176494823,6.26156946085092,6.91019473173739,10.8154716387596
"GSM2040816",1,6.4516714797516,6.33248082325465,6.08563673844879,4.33994365909641,5.89966218792669,3.21263659241018,5.40535663931625,6.14857229216931,5.48668057201869,7.32931542450868
