"ID","Type","CDH3","ETV4","ESM1","GRIN2D","WNT2","LRRC8E","CA7","PMP2","CLEC3B"
"TCGA-CA-5256-01","1",10.3820057338621,8.77217754776145,6.83053027399196,6.73857875876254,7.43092334358059,6.1924873538585,4.20114844196953,2.11438678848198,7.22795667283173
"TCGA-AZ-6599-01","1",8.53038015880516,9.05031232851309,4.89231433712152,8.605271667373,4.25392578293156,7.59331717759512,3.89199673757997,2.67814609669327,5.76809907642491
"TCGA-AA-3655-01","1",11.2431518672003,9.39227978912138,6.32926753169788,8.1770999708537,7.34848319675765,7.21997650674054,3.90946565192858,2.06595812544181,5.45234544238668
"TCGA-A6-6137-01","1",8.46615871393814,8.12450482242245,7.85660958039784,7.79438382591911,6.53667567785546,6.41847078285,3.51946011920073,1.63949097254794,6.58660195741604
"TCGA-CK-4952-01","1",10.2585714490136,9.67293797010161,6.75672263017325,7.8292858497727,6.76498929909425,6.73092518861536,2.1959895257072,1.63949097254794,4.99375087866448
"TCGA-A6-5657-01","1",10.9008972000147,9.22657650744374,6.6000939666778,8.40098552343509,7.68287959361772,7.54615929438546,2.19102130236034,3.28575507576626,7.46302477060667
"TCGA-AD-6963-01","1",10.7391749133738,9.63639539642087,4.22940605231666,7.99708694069735,6.12462947072636,6.0234677951335,3.51401110004612,1.97631853279532,6.6939708993727
"TCGA-AA-3663-11","0",2.45268743523816,3.74924508879753,1.05898306586207,3.1860842458575,1.99605431908911,4.08766961807597,10.3575549491097,5.98789521064289,11.0677287794464
"TCGA-A6-6138-01","1",10.3778875476227,9.05386378068667,7.7611188154112,8.093651719437,7.74808998154514,6.64195814240884,1.7017314353301,1.63949097254794,5.61435183409643
"TCGA-A6-A567-01","1",10.135248466496,10.1954687359559,5.4957003285242,7.33409925216086,6.1159759595322,6.82497351902404,3.16190830349668,2.89498853985714,6.52359947175114
"TCGA-AA-3712-11","0",2.43899724855074,3.24755573964605,1.6567569553154,3.45188237999958,1.31466757604176,4.98607632315537,11.8634074190134,5.10096770868273,9.8351036775554
"TCGA-D5-6928-01","1",9.60800932553399,8.56666061803267,4.71247197919922,7.44491129333751,8.01063133009655,4.81652907911148,2.98465491570256,2.32936659075969,7.06902099050732
"TCGA-AZ-6598-01","1",9.5924269992231,9.90331506504543,6.16005415474025,8.37294329260672,7.25538068792762,7.91869765720812,2.7823200132703,1.63949097254794,4.56671050104
"TCGA-D5-6931-01","1",10.8226516614679,10.0601397162891,7.01173314147774,8.04035640439489,7.00643771410989,7.28817268945394,5.91774974094135,1.63949097254794,5.29902174618032
"TCGA-G4-6295-01","1",10.4287527127947,9.6095725865836,5.21390478518873,5.46763249057321,6.46049387394972,7.15285006806969,1.26989666732715,1.63949097254794,5.44186267586428
"TCGA-AA-A01X-01","1",10.4891898784148,10.1405146865332,5.61261911913562,5.05664796778743,5.66228472978121,6.62573369109663,3.97116778059109,3.26511080594465,7.10576361660097
"TCGA-AZ-4313-01","1",9.39041326883549,8.57675421894704,6.40962262779082,7.07395479358901,6.12663832153929,7.1419743369703,6.1341879870679,1.63949097254794,5.17704046301062
"TCGA-DM-A0XD-01","1",10.9140308750481,9.45171988339491,7.20220448036472,8.40550846389128,7.011150787171,7.91602329710171,4.43657812250259,3.13464833387648,4.85758080040386
"TCGA-D5-6535-01","1",9.61001276748825,9.79097702523915,7.95405607788198,8.58499381766108,6.87864389701041,7.35333793071342,2.69673835948905,1.63949097254794,5.37451884244767
"TCGA-AA-3509-01","1",9.16202088605016,10.0581770716669,6.2853910982757,7.56687992097276,7.24178231319394,7.16577614191733,4.57689036573384,1.63949097254794,7.41961129308968
"TCGA-DM-A28E-01","1",10.0388606480301,10.6922047439179,6.53768059045323,7.79672067848814,6.15561213134117,5.85756832319931,2.01080300708504,1.63949097254794,3.66529846664446
"TCGA-A6-5667-11","0",3.03413081129594,3.45092310621714,0.572260769527666,3.3926318600235,1.28553923925427,3.64176464300084,12.0088481508608,4.66278144021343,10.282580155572
"TCGA-G4-6307-01","1",11.8799125016617,10.8262253338366,5.5592191187691,4.66254908937143,5.96399866918475,7.92155030798829,3.3611180331785,1.63949097254794,5.92438759548609
"TCGA-A6-2682-01","1",9.45174085310192,9.3883544998769,8.16221404109418,7.85378511057707,8.26490548491783,8.03922215267025,4.64307992193544,2.43196705957237,6.23770583932215
"TCGA-CM-5868-01","1",10.323683312527,9.13666869189163,6.15699300822243,8.05369907874065,7.58359600536329,6.59783120065311,4.31277320200444,1.63949097254794,5.96229497341556
"TCGA-CK-4947-01","1",10.3629730352966,8.54600611986529,5.32436115537363,7.49888504944804,7.43347303884316,6.93943613157831,5.86870856854985,2.03421562034015,6.08957058311172
"TCGA-D5-5540-01","1",10.9174812473027,10.2436002588346,6.70349269350216,4.99325141905984,7.29439875179415,6.31238783196247,1.82457476421273,1.63949097254794,4.70521008297226
"TCGA-A6-4105-01","1",9.05672888112086,10.1772441787494,6.9050181725924,6.81810712845054,7.85030958252617,6.48105080933995,5.69882738314138,1.63949097254794,5.62928183490106
"TCGA-A6-6651-01","1",9.3453358248647,9.32573679050069,6.54363281979345,5.97216649846118,7.90478034495369,6.90422372351061,1.67432607428779,3.65044463926913,8.14916948843624
"TCGA-G4-6625-01","1",10.4937532739773,10.0869625261264,4.92760255392424,7.62763808776758,7.63234926932325,5.72358288186826,5.95781605825467,2.05819712174947,8.1052265782666
"TCGA-CM-5860-01","1",9.33632033607055,9.02162033332131,7.47090511915171,7.49752816731118,8.66968892372325,7.42287129348004,3.15798180439997,1.63949097254794,6.6447336626766
"TCGA-DM-A28G-01","1",10.9958380881803,9.65237693120196,6.75604237539152,7.7441791868554,6.85415136979123,6.63714429421731,4.05162094575623,2.06223284366948,5.81839517842631
"TCGA-A6-5666-01","1",7.95828617853392,10.1502344503767,7.58433760400672,6.66447791762196,5.80027732793095,6.54487887054622,2.7335993714173,2.1004945918727,4.5605690822693
"TCGA-A6-2675-11","0",2.90791396817773,4.05999715398544,2.2973868960183,3.08183046834232,2.74473756436961,4.61754950049232,10.5769581027174,6.42173531704448,11.3960829106177
"TCGA-AA-3516-11","0",1.69883674878347,3.97579035376459,0.911622873767813,3.34091957414106,1.59389783903905,3.73028596252296,11.8255848154696,5.07807274779034,9.43061713093365
