"ID","Type","CDH3","ETV4","ESM1","GRIN2D","WNT2","LRRC8E","CA7","PMP2","CLEC3B"
"GSM3108231","0",7.3212504189455,7.70262900915954,4.82271083516341,6.48683785819565,5.6406065645872,5.35814326436227,3.91307609254768,2.83743312948314,9.44923735551118
"GSM3108232","0",7.20286301271791,6.93901180394453,4.54388191590947,6.70792341169687,6.16693422804991,4.84334365857436,7.80227329276469,2.40744265481508,6.05368959654644
"GSM3108233","0",4.72341469534793,6.1164839814953,4.95189758222811,6.22318024017911,4.99233186847374,5.21033923486692,8.84524622102739,3.11224471318218,11.045575593519
"GSM3108234","0",5.09484692441079,6.62178449792275,4.61747545769762,6.33289583929819,4.92578730040491,5.40327614469945,8.34235880792042,3.14909496678602,9.37086211707051
"GSM3108235","0",5.1156750845949,6.70937734764975,4.79328358667343,6.1853825207203,5.56350290565178,4.1469654365486,7.52243567392524,2.80751708462084,10.7655318998538
"GSM3108236","0",6.62150008118581,7.11978216368038,4.61696764367667,6.10225237599051,5.333621092262,4.7344182750388,8.76073873226111,2.83224995841614,7.79189833932304
"GSM3108237","0",5.78806182994135,6.76469582224757,4.46116557860037,6.20154610198387,5.69545021884414,4.88849240869023,7.76956617020377,2.70680679671797,7.26706295201971
"GSM3108238","0",6.46785501553065,7.79895227410602,5.33085483695386,6.13797744633444,5.73252431456083,5.45933984334645,6.06906690062309,2.59906920429815,10.8322062238656
"GSM3108239","0",6.74729663034627,6.65193459475546,4.3501911099291,6.29977309558036,5.16405849733764,4.78882303226777,5.79803665076488,2.80177476602831,9.15418364840869
"GSM3108240","0",5.73729392732647,6.54102326917169,4.79137634129345,6.24678818977837,5.49362872472429,4.86868981809325,7.6734612327516,2.81782612876576,9.48249176069217
"GSM3108241","0",6.02326451710522,6.20442074185597,4.14052981089689,5.79879276452676,5.24394513907143,4.99846571292508,7.13006899175283,3.05402635234587,9.81584045214726
"GSM3108242","0",6.48961732652613,6.98685069334597,4.88948491192805,6.35151711448914,5.35599192073661,5.48897145294156,7.39730432931102,2.78640304639325,9.49791637816863
"GSM3108243","0",6.22272792012797,6.36823263523442,4.44874286558404,6.07243195764809,5.36006063560806,4.90936243965712,7.24353907175594,2.89431593819137,11.0787620195914
"GSM3108244","0",5.67124974225637,6.24767384871393,4.75173179657787,6.53958708251565,5.32891009448143,5.33659890797621,6.63418853933262,2.93671587069244,6.89513601750258
"GSM3108245","1",9.33677118005947,9.66993271522528,5.24797657545847,6.30069918703937,5.12690618405678,5.51748608299797,5.1015573415961,3.49122481187335,5.62958739056781
"GSM3108246","1",9.64221761495978,7.84078248107171,6.38130266561282,6.3806169702721,5.83244825232602,7.18961012895878,5.57871237928926,3.41017305051785,6.72052502908487
"GSM3108247","1",9.47463407372355,8.9746725703549,4.89916814950829,5.95203673221486,5.19859953752758,7.44625714093926,5.61209738473695,3.39651203681606,5.54783468275136
"GSM3108248","1",10.1198616430858,7.9770480203077,5.75888719372099,6.11747437395805,5.13094567701591,8.61216470059743,5.88553902459579,3.27432242702804,5.50716444980341
"GSM3108249","1",10.0294049265828,9.19805617545308,4.80905581347106,6.53804978756379,4.73316268941118,7.45420987153917,5.65760394222903,3.24778171256123,5.75769196194289
"GSM3108250","1",8.36802709724369,8.35961039393903,3.3058342165268,6.13697169724852,3.93892503778304,8.06761807772987,5.63194173881387,3.60980267317461,8.32230143389701
"GSM3108251","1",9.16667272525321,9.6401851805323,6.97448715588808,5.82107588554437,5.88209813150636,6.46526180650933,4.97965499114995,3.48750177173635,6.33420651822447
"GSM3108252","1",6.22773777846521,7.84647021800561,4.54059708920508,5.21689111054285,6.31890631164994,5.99817038922581,5.50948869958311,3.32486092366823,7.43241249608469
"GSM3108253","1",10.2181814915386,7.76121246927263,4.01039755463488,5.15556951474024,4.81386485066085,7.02759873933593,6.23343543829542,3.40325028083488,5.76643511994203
"GSM3108254","1",8.00656245686503,8.03570034406134,4.83698425737068,6.48626028764687,6.01463321950246,7.37124945259214,5.97374222929767,3.2588837881403,5.7762920153045
"GSM3108255","1",8.29698145042561,8.66715793347662,7.57692043637039,6.35714339929838,5.88276086190439,6.33202495632976,6.60879893902887,3.85865585000889,6.86932159508754
"GSM3108256","1",7.73497426972917,6.19230979961532,5.33439856963606,5.59238287093016,7.05104580068794,6.98111776263772,5.29964161169548,3.7691108169082,5.93072403550361
"GSM3108257","1",8.0649886368067,8.87001950133495,6.2100412902754,5.42820055539615,5.54325798030139,5.44468551022538,5.97097414317268,3.47042045280375,6.82235578263513
"GSM3108258","1",10.1718479245753,8.44078501705103,5.56287046446788,7.03150220688665,6.29678561645164,7.25835568292912,4.78507215440298,3.46559764984466,5.98812045953191
