"ID","Type","RPS4Y2","FNDC1","LRRC15"
"GSM3985262",0,3.04029161806074,4.71832165373529,4.42286602701931
"GSM3985263",0,3.04029161806074,4.93401186450201,3.83246733216507
"GSM3985265",0,3.04029161806074,3.27056975089249,4.25834286467588
"GSM3985266",0,6.86409024822345,3.222276478518,2.96476862171268
"GSM3985267",0,3.04029161806074,3.48625996165921,3.02544460685929
"GSM3985271",0,3.04029161806074,4.32582206709913,3.08300760150297
"GSM3985273",0,3.04029161806074,4.53827555657977,3.02544460685929
"GSM3985280",0,3.04029161806074,3.52505100710694,2.68273543858914
"GSM3985281",0,3.04029161806074,5.60594884736689,4.15531346231428
"GSM3985283",0,3.04029161806074,4.41902149149703,2.68273543858914
"GSM3985284",0,3.04029161806074,3.44615371775241,1.2768443000624
"GSM3985287",0,3.04029161806074,3.40463995328445,1.90486324460624
"GSM3985288",0,3.04029161806074,2.06193498062619,2.18689642772978
"GSM3985289",0,3.04029161806074,5.09632365767147,5.93968515950075
"GSM3985291",0,3.04029161806074,4.38261797640981,4.85498859474463
"GSM3985292",0,3.04029161806074,2.58463235738458,2.50974255787899
"GSM3985294",0,3.04029161806074,1.10258759281032,-0.278900087903412
"GSM3985295",0,3.04029161806074,4.71832165373529,5.35165368761163
"GSM3985297",0,3.04029161806074,4.55437132721234,3.99305972917035
"GSM3985298",0,3.04029161806074,4.69015315887626,5.45115713447698
"GSM3985302",0,3.04029161806074,4.63172049740318,3.46060763257205
"GSM3985303",0,3.04029161806074,1.76462476148471,0.498972106079492
"GSM3985305",0,3.04029161806074,6.48680177919965,5.12148890212295
"GSM3985306",0,3.04029161806074,3.76591282476625,4.43974201957395
"GSM3985307",0,3.04029161806074,3.855805740226,1.90486324460624
"GSM3985309",1,4.44921213022375,4.45626162687102,4.42312536525948
"GSM3985311",1,4.44921213022375,3.92708192763556,4.59883223122636
"GSM3985313",1,4.44921213022375,9.02133780361369,8.17747943084943
"GSM3985314",0,3.04029161806074,3.76591282476625,0.953998169913183
"GSM3985317",1,4.44921213022375,7.18607177309159,5.5772381324145
"GSM3985318",0,3.04029161806074,6.65255014957785,5.24246170143013
"GSM3985322",0,3.04029161806074,2.74260278461007,4.15531346231428
"GSM3985323",1,4.44921213022375,5.07599318306121,3.36593397340977
"GSM3985325",0,3.04029161806074,4.15951068246265,3.99305972917035
"GSM3985328",1,4.44921213022375,8.98478087856813,6.51343329420319
"GSM3985330",1,4.44921213022375,4.79173712001369,3.41369574979941
"GSM3985331",1,4.44921213022375,4.43670711733098,2.43121640545758
"GSM3985332",1,4.44921213022375,4.2674158296275,2.18079749198281
"GSM3985336",0,3.04029161806074,3.6343305746942,4.37065976023943
