"ID","Type","DEF8","PDK4","BAG3","VEGFA","MAFF","SLC7A2","SLC16A6","SPA17","CX3CR1","P2RY13","PVALB"
"GSM317387","1",6.73038311414254,4.95978706162582,5.23356068513376,5.38630060910141,3.61566925509108,3.55465630731966,2.85832038947756,6.33992264929313,4.48164229266401,4.20377360090975,5.27319614963349
"GSM317390","1",5.99885041100632,5.61860031144923,7.51099040278877,7.91501009191874,5.60262893652798,3.65180889554622,4.71322508790714,3.67858286993737,2.40256057365812,2.59025270966638,4.62262970517806
"GSM317392","1",5.82330601075302,5.64645100907986,4.91763697188579,4.95786030883152,3.78147265209603,4.26467935144414,4.46327014499938,4.26813722319427,7.01247932459296,5.80973544165412,5.6180016092692
"GSM317393","1",5.52207461581298,6.93789736496712,5.78729461618567,4.50026102605458,3.46126241189795,3.62015224852865,5.21762400843702,4.53859050957868,5.58504054500861,3.70121119460132,4.49763896576763
"GSM317394","1",6.54115783885282,4.42561261408745,4.8909179674298,5.2800269872146,3.99232129290039,5.03003218903364,5.04757110662115,5.72992660481923,4.80284207619946,3.45668815064552,5.4426964730785
"GSM317395","1",7.22199083559585,5.08870606587579,4.67391904856418,6.32431479559774,3.51669195285487,3.72984850671497,4.30599162856384,5.79072070595873,5.82900800944498,4.05656393793346,6.00079159108442
"GSM317398","0",6.1663658487051,7.22892862731619,4.52033673948986,5.84354631000608,4.27283713682059,4.42895143710051,4.61595968519703,5.32394903903394,4.01998747564058,3.32362541320732,5.78232972378122
"GSM317400","1",5.44084865277396,4.89615440178964,5.28234283987446,6.29526117104186,3.67869186889027,3.89654575689868,3.6817233279315,4.5191687339378,5.16414155217856,4.319801596735,6.02472924952643
"GSM317402","0",6.61315012391853,5.08852346814228,4.67354831698714,5.32420748459205,3.65394322198432,5.8965681969616,4.86123118246518,4.62413840359062,6.21970390485635,2.73388687648225,7.41187986748161
"GSM317405","1",7.14875902299827,4.47849690573289,5.25495397271492,7.60471437959651,3.87552156591395,3.80869849372641,6.71734508082345,5.51221323651164,4.52417246683237,3.71381755219997,6.45212587585787
