"ID","Type","DEF8","PDK4","BAG3","VEGFA","MAFF","SLC7A2","SLC16A6","SPA17","CX3CR1","P2RY13","PVALB"
"GSM2081439","0",5.61988034017766,4.4272654545455,4.74824227150162,4.82219417082066,3.99543706013452,4.24222307727363,4.58100875031446,5.21101750040051,5.86159701361828,4.11681776498161,6.64020319535527
"GSM2081440","0",5.91530550011988,5.35405590194113,5.78213768490854,8.41762454861904,3.86285945685767,4.25000241477367,4.50140345163669,4.10467267032204,3.50404009159493,2.13864292176956,6.50469792835835
"GSM2081441","0",6.38720295759095,3.53604979134182,4.33164071797195,5.55032548363954,3.69509248446367,3.1434448882502,5.14357850007957,5.74322465357346,3.84638489016999,3.22137896390983,6.92875153620928
"GSM2081442","0",5.17330095716581,4.94972855123318,4.44174786044364,6.22839589714299,3.1866738191404,3.34508549289106,4.20814887814437,5.50512154740052,5.31532354291012,3.66061957651203,6.58888063504168
"GSM2081443","0",5.9668963204202,4.19595629651768,4.90063376317923,5.93343844008418,3.99077071182182,3.8712056782672,4.68189819404698,5.66669797291245,5.18219227294287,3.88358446923964,6.17290857947639
"GSM2081444","0",5.45830763570387,7.05196895185449,7.43712926351223,6.53945150223101,6.81524864264936,5.00226252974037,4.61160438932574,3.80133695812001,3.84308240830501,3.07076858903655,5.80755440126789
"GSM2081445","0",5.68657500729207,4.03375646131544,3.72874338562658,5.13731254310217,4.27822903550133,3.27543915259613,4.6990962537795,6.09801306257528,4.81527394095653,3.97849878320351,7.24950082471184
"GSM2081446","0",6.31910325558188,4.81513911910889,4.7990623950883,5.31523162313168,3.1855016396694,3.91744323359002,4.44911212875305,5.20617934343293,5.80613664283087,4.32453653784848,6.20571289229784
"GSM2081447","0",6.04863132958676,5.07917499943373,5.06601667209234,6.03583061394822,5.0244571887912,3.91488663818163,5.20209696206841,5.56732787286004,5.36833783648732,3.59571048632768,7.11900539543168
"GSM2081448","0",6.43101316368348,6.8785970951059,6.07727008082349,7.17214593093993,3.91022763916943,4.32726821163077,5.13054735798893,3.94835870534018,4.78439715555349,2.74190644320258,6.70412872191057
"GSM2081449","0",6.66602702107091,3.63132314465797,3.97173261931379,5.65154172041966,3.69439957866263,3.86348553840461,4.77749407834794,5.08558989403984,1.96518741961315,2.3521776603414,5.90221092885015
"GSM2081450","0",5.97251244753514,4.57765670417374,4.79599251404774,5.1127214906808,3.45882807653982,4.00487036971549,4.76156063970782,4.55616663207142,5.73900180912937,3.43686342450584,6.05723058035596
"GSM2081451","1",7.02867479723364,4.45150660064545,5.52018930057402,5.2375259894612,2.89231586860746,3.91603090990553,4.42068921213683,3.87271714273395,4.71556962460278,3.44779806473307,5.96594540995431
"GSM2081452","1",6.34317723193451,5.34608489735286,6.79390899954543,6.2009733592039,5.01321167365301,4.40325477074595,5.36389057390492,4.63196126697427,3.41050632680619,3.0756154782911,5.50462461700577
"GSM2081453","1",6.35934812864926,5.2538130140919,5.76983665346049,5.60941276185108,4.95079712501907,4.07483278867908,5.1896604665189,6.42089783089954,3.51637088265124,3.78519452698475,7.01197980158307
"GSM2081454","1",6.05806982014296,5.8668932702605,5.18763275382388,5.35053769694481,4.53500859624899,4.45571719079942,4.53305164362296,4.91302323340135,5.26791730054217,3.64311563274202,6.03924469418864
"GSM2081455","1",6.34914166080391,4.6278001589952,4.8508957106553,4.84548236550693,4.66494315479866,3.6215766903616,4.37245624299675,4.74766430618606,4.8815100912675,3.49288464641149,5.01446187043918
"GSM2081456","1",5.76891351584936,5.4866697900954,5.01357311256826,4.68508812937838,3.5332833355756,3.82288207660106,4.54730262124251,5.16724948698537,6.42212729378553,4.93728923367128,5.71145093862314
"GSM2081457","1",6.59560953170254,4.95323942727597,5.1378317306205,5.02615615780462,3.48242944147807,3.67136882413547,4.1573280184501,5.30313057966413,4.0432612073473,2.40882802570291,5.99044253890543
"GSM2081458","1",6.51688321339218,5.97027968433573,5.76837423366681,6.47676968110909,4.29737093179069,4.40733842790328,4.91546769508753,5.46165137953372,4.35265533770096,2.5544949132394,5.895725154953
"GSM2081459","1",6.06139815472069,5.65445959573157,5.01158210816137,5.07946997976135,4.17775535613908,4.25578924943498,4.86018921745671,4.57438662916995,5.7264271436485,3.48378859228143,6.94135478639304
"GSM2081460","1",6.50647196838785,4.97985427727121,4.33179956364497,5.18897894703608,4.13883283380831,3.20137824790974,4.37419873140616,5.11908302657975,4.8839537601345,4.41278889099741,7.06509721972033
"GSM2081461","1",6.96167300657969,4.22275231819497,4.06241918497426,4.81579816214382,2.62003151035497,3.64970171469886,4.66242213907305,5.37885863246928,5.07286852107513,2.77315775080779,5.53343486404274
"GSM2081462","1",6.24344304243193,3.724469326197,4.718824167671,5.85229140084944,3.89751683827274,3.83827233767831,5.02705064894447,4.54348530132315,5.00599280767136,3.22000906889202,6.48612916063887
"GSM2081463","1",6.49793381462176,5.2538130140919,4.7095649369115,5.12100192816433,3.37735129714861,3.16569958418956,4.94613926164241,4.41297247119938,6.27304844155522,4.1642439999966,5.51569806398848
"GSM2081464","1",5.06918159974828,5.88154210856157,5.3527111360603,4.41600645653906,4.69458218425264,3.95107246352639,4.56004556381519,4.27896718559626,4.30958113406039,2.17672614960565,5.81533019140137
"GSM2081465","1",6.63644374103615,4.48208322446433,4.65803933078078,5.79109908804899,4.21912222990434,4.6337000198005,4.8132096553975,3.86025969834025,6.11433857397605,4.45061233377073,5.6837990265608
"GSM2081466","1",6.43763799176535,6.8642491719937,6.19144209920748,5.2797660410796,2.84470616030012,3.89709217247516,4.72543787474136,5.09206224071346,4.80448033740016,3.2420685711858,5.27214868596381
"GSM2081474","0",5.54983097916133,5.69797405188823,4.0994739978208,6.22467292088951,3.85205914145444,4.24245644285084,4.73782709695769,4.93951632021133,6.60404488627526,4.3631966908965,5.29299981617099
"GSM2081475","0",5.56666775383186,3.0882647327295,4.24463115320506,5.51154834932008,4.1936818628449,3.03018679813041,4.53939884028056,5.23669739282344,6.01338866803485,4.4837590106743,6.49027700762345
"GSM2081476","0",5.53285215057812,5.28420277133837,4.78567358915696,5.56848494582228,3.36137289351697,3.89022181056623,4.46139056006064,3.92157522524481,7.0053604829699,4.51107291541488,5.40881928100047
"GSM2081477","0",5.5352453271024,4.33209056805539,5.40750285463533,6.64241148687844,4.56033314983803,4.19044456798819,5.59119685514743,4.4594240130034,5.06214836654868,3.15853272050392,6.17988783281205
"GSM2081478","0",5.49178407398934,5.51782864049282,5.98367622454629,7.35723213427121,3.61632389168068,5.03967876657647,5.1568805372759,3.48883772543535,5.87821161707102,4.19645093572455,6.35868894974892
"GSM2081479","0",6.76465090389831,7.14124520595841,7.14957613018381,5.77895230083338,3.80436083804454,5.29023705735298,4.52900294218489,3.79764998140972,4.39248933221665,2.27261730771779,5.09696936836627
"GSM2081480","1",6.29611681006205,6.68571387419029,6.84447298334772,6.22846053929982,2.87327108715195,5.12125686197778,5.51533206818166,4.35905726359792,4.62678391584864,1.40534064119269,5.36946096368627
"GSM2081481","1",5.58896974127846,6.32046419915113,6.57024149270159,6.80028339915896,5.48164422430105,5.59510020847818,4.04391112284209,3.80503816801631,5.11852001895507,2.94595746770641,4.56240231728036
"GSM2081482","1",6.66467768546302,6.21828556080587,6.04140260637425,5.6623226902844,4.11047002967847,4.52088275468211,3.83275627352879,4.72908829190169,3.45100183508298,3.17339327762523,5.67861918610297
"GSM2081483","1",5.85221032076644,5.08231372442733,4.89671609125154,6.39846931088476,4.72147651942471,5.97016425588869,5.60360097826326,4.14525249105211,5.72901211105855,4.11171561703353,5.32505683815133
"GSM2081484","1",5.3430490073888,6.14635010850822,6.52579674992824,8.83017184200378,6.84202623119875,5.76485816476813,5.28287315614801,4.4369282097836,3.65674567232953,2.53851895533615,4.29636870169652
"GSM2081485","1",6.01052566173657,6.62083299171322,6.78566909621973,6.40414952431977,4.15742537740565,5.35747483120533,4.60099743605506,4.57103369766913,3.15869081599406,1.43688784814528,5.93996188887775
"GSM2081493","0",6.36413424853864,3.78190283794471,5.05472170065534,6.73810952591983,4.62921058724882,3.823974126802,2.93036662202289,4.86137324311883,6.19183622930076,4.1130589896837,5.55654182894816
"GSM2081494","0",6.43954557378231,3.3207158719607,4.13248902591189,5.42365505872757,4.23256538597317,3.68841814623408,4.64276421183591,5.4047881040567,6.11586583116744,4.04310721796135,5.12591485740827
"GSM2081495","0",5.38672469511754,4.3092745240007,5.02411544941739,5.53633524387359,5.28899878425721,4.82776559681437,2.87091214659385,4.03112573125259,6.94812127304196,4.86328358946506,2.55036833965036
"GSM2081496","0",5.65587928408489,4.94762030895522,5.64538625685091,6.32886826736968,3.84298553008682,4.18087374336928,4.40120912817826,5.61890931154513,5.3626330769815,3.40006901663565,3.37203151232554
"GSM2081497","0",5.94000653188608,6.11463198904734,6.00739672804075,7.15073238257109,4.05536525188363,4.77121048628518,4.57403163176955,3.47615451949132,4.07316747509719,3.68031639018173,5.41037619956683
"GSM2081498","0",5.67760870005394,5.24404026063929,5.13395637012752,5.86459034421384,4.10909040925532,4.30582070696871,5.12714758330745,4.51317920852919,5.48669088993214,3.34923119787587,5.59591565283687
"GSM2081499","1",7.18983983935034,6.87781759323148,7.83706598362203,6.25990440721567,3.26658691556271,5.07867870376995,5.72269122439182,4.19936418496999,3.73104636247239,2.82952472157993,2.78017364977987
"GSM2081500","1",6.50647196838785,7.13117797203802,6.42808499681692,6.31456849757679,4.46419311851187,5.42040050870222,4.1976324214913,4.37262145981822,5.2506442759483,3.42752203049141,3.76519720045615
"GSM2081501","1",6.48925222644366,6.31171338646646,6.54388562285025,5.8476609255704,4.70409162612391,4.96608844575596,3.60709601938115,4.05978795930823,3.44090560353005,1.66963782465935,5.58032081052091
"GSM2081502","1",6.47386445238746,5.08067395728762,5.56480266783162,5.69035533801947,3.98120576542174,4.56343877181449,4.76077707316867,3.5899727569267,5.9451398578621,4.2065719139036,4.16734885915818
