"ID","Type","DEF8","PDK4","BAG3","VEGFA","MAFF","SLC7A2","SLC16A6","SPA17","CX3CR1","P2RY13","PVALB"
"GSM2335078","0",6.39398243779535,5.24361073009671,5.29605439981898,5.98184774860767,3.62479599470659,4.10872704675897,4.66110422937008,4.49459067061409,4.67687831846975,3.22126643615493,5.9767862901625
"GSM2335079","0",6.92232605864211,4.86026723247137,6.20478198363218,4.87040273512731,4.14311827331625,3.6718341598614,3.84008158666791,3.70922048596686,4.52558393265775,2.8155390921512,7.49332761986518
"GSM2335080","0",6.43731911616041,4.66913760014629,4.98696580265565,6.11201564869875,4.07475283141447,3.68559437828389,4.47885357160109,4.66902473427925,4.63295386488057,3.51509181973471,4.9398239544913
"GSM2335081","0",6.96679746006814,5.12005909176886,5.16402941765954,7.11748034743346,4.13245892818044,4.5045912841009,3.70797311283339,2.91543409273385,4.66233185803965,3.11093869921463,5.92022117217806
"GSM2335086","1",7.37044630147952,4.99483551903785,8.32650379744942,7.66071603325332,4.22555724675404,4.44860629913687,3.82946954666292,5.06636169326665,3.94158862241355,3.14398122054769,4.77122918464282
"GSM2335087","1",7.22151244281653,5.46825512500597,5.3087734773282,6.43736719127615,3.77943321676885,3.59001093505853,4.15896148975904,3.65953791479558,4.85372446629006,3.23474586369611,5.21828303344848
"GSM2335088","1",5.5725202250517,5.56876673681677,6.47017522426582,5.09356902461433,3.49516752778522,4.96266399290655,3.66704640334612,5.17150290484687,4.45412856969536,3.60647043616533,4.93109136788606
"GSM2335089","1",5.86204626102675,4.41901884604348,9.19762186563776,6.88896610317325,3.8159228567818,3.95878249758733,3.02823127026195,5.11328912661997,5.46290991905234,3.50535864061927,4.55487013912577
"GSM2335094","0",5.46683623981297,4.56187028350521,4.35366819734714,6.62904814167688,3.69750906973307,4.54638045637965,5.3570974078716,5.07443231221188,4.91710885488607,3.04837470855209,5.86967787629145
"GSM2335095","0",5.77284987329461,4.64872489396624,5.13005407019623,5.75620041884365,4.15293692714982,4.43675045816611,4.86023732853474,3.966516831591,4.81262362217143,2.95003940959624,7.24092078528128
