"ID","Type","DEF8","PDK4","BAG3","VEGFA","MAFF","SLC7A2","SLC16A6","SPA17","CX3CR1","P2RY13","PVALB"
"GSM3398477","0",5.65691901937717,5.45908790270972,4.5160369225449,5.51782651505647,3.17447845788827,4.57760304542289,3.89103127639212,4.97357019963693,4.96274363222516,2.82461486823875,4.92830500844977
"GSM3398478","0",5.21070956214768,6.64145667747165,5.09375810569521,5.57315303141576,3.4770419115456,3.94218368823873,4.05987561349169,3.70366005446337,6.7223146842559,5.04135026621956,5.03360963810158
"GSM3398479","0",5.99040936869626,4.69861874131603,4.85911608638257,6.67815747456029,3.98567861942043,4.47436114346267,4.91801970295395,4.78084277498809,5.65614570522463,3.92715345754279,6.21727451067477
"GSM3398480","0",6.75989449672481,4.03954980322841,4.53798990063771,5.75466390200254,4.66043546229783,4.21190773500272,5.19815379129399,5.55539565758391,4.40204840748714,2.79096465729572,7.14854783351159
"GSM3398481","0",6.15114480678226,4.90812910468617,4.49651042453315,5.14448741972032,4.40649159133469,3.94951884884721,4.23380908665017,5.74340283257828,4.52398461593817,3.35170554397623,5.03852909229853
"GSM3398482","0",5.95504849329209,6.30850151648943,4.71604013504447,5.88860105056756,4.19059891740793,3.93193970190454,5.07881755231077,4.7133124886298,4.01857912983677,2.82964720399184,5.61391434581936
"GSM3398483","0",5.83237266187435,4.95005470981261,5.13963374755279,5.9446606169955,3.41964152026867,4.16670119886892,4.44905284443715,4.59929180729894,6.29894213745024,4.63468662697697,6.24312600539194
"GSM3398484","0",6.11498145273336,4.67414345166952,4.98581947173339,5.05474158569948,3.9743326637313,4.33272809604276,4.11066382669028,4.70012810655015,5.85514304997314,3.48645678245969,5.70825339500963
"GSM3398485","0",5.64987059637683,5.31585058907174,6.13767469249899,6.12394529276147,6.8571947522455,5.92567692505837,4.1656196550487,5.07161618022385,3.48202666952089,3.85739384193857,5.38843750760579
"GSM3398486","0",6.1095186914627,6.39141058204606,4.6597153037943,5.6585102931898,3.89099743441859,4.33011478823631,3.91416784821854,4.40875043182885,5.56194893867954,3.2199522926003,5.88450022282311
"GSM3398487","1",5.64509785879802,8.45497426824996,8.4850281932579,6.54943622169769,4.52749119056835,4.50828000765183,3.2841434230327,2.87332714372742,2.01052743800108,1.72335285128508,2.21056401632477
"GSM3398488","1",5.91438660975403,5.09040034389852,5.30229859534677,6.16372840568794,3.73667896836934,3.5378863881935,4.33580969263544,3.24085426868667,5.38181117502449,3.79972685505713,4.34225010009806
"GSM3398489","1",6.45874712353207,5.73883862010324,5.12129884956136,5.7169462555696,3.64837990903007,3.42637396362746,3.96607319139729,4.16852127931349,5.36064292425236,3.45195860406294,4.86329318147858
"GSM3398490","1",6.05777184028758,5.76375560243544,6.27891730070928,6.07389358776337,3.57009103836979,4.37604873075278,4.10215430216306,4.34881415420148,5.49362060322633,2.95622240854244,6.33853800191039
"GSM3398491","1",6.82210373750341,4.57723041828241,7.02410455941525,8.57449673692283,5.54486702844081,5.30387681180206,5.1131239079913,4.79929689295534,4.40749498046499,2.54986193841181,5.89791683544959
"GSM3398492","1",5.9693550954984,5.84594577076873,5.41907929373988,4.87937654139943,3.80469568027281,4.19902322132228,5.10820496483872,5.09201626327657,6.45987661356419,5.41104191464383,5.72849281951075
"GSM3398493","1",6.55283813898438,4.83488460539488,5.2810844753949,7.26245791013301,3.8552291900525,4.35794656889644,6.39891639632767,4.64232858659659,4.64609153286571,3.08382092294699,6.22236810813037
"GSM3398494","1",6.20376206142501,4.2471079721591,5.54012266311102,4.68407779337535,3.33663035568867,5.12547375444787,4.57917304739372,4.32345541634414,5.41567164476116,3.25879840120694,5.43268527890287
"GSM3398495","1",5.86248189519595,4.61564892434084,7.64790096615366,6.56204953594207,5.45641460021542,4.55661095809275,5.80654979688878,4.77314874465001,3.40280096888969,2.16258699776107,5.79556923289208
"GSM3398496","1",7.55487002296552,3.61487005364758,3.92958223427986,4.91849956065164,3.58662057949947,3.11539998367028,4.70060473047852,6.09499063235292,4.82611690703286,2.8144753764326,7.20096672667554
