"ID","Type","HLA-DRA","LUM","MARCKS","CXCL12","CCDC102B","SERPINA3"
"GSM7496121","1",15.0601665017791,11.693631486024,10.5032871516397,10.4688679902073,6.14106111884937,7.24576528121442
"GSM7496122","1",14.6050943812344,10.9985891206711,9.49130440754264,8.90608149443231,5.64117481066748,7.19144613501243
"GSM7496123","1",15.2276698461191,10.6523197810315,9.23380572268468,8.47403818689696,5.78784136715389,7.09997158323547
"GSM7496124","1",14.9690935786261,9.84536861524714,8.74189555232926,7.98692496291523,6.22337069214409,5.95256212201796
"GSM7496125","1",15.0103450053081,12.0480733208378,9.49888798927992,8.80888439022987,5.86269189137311,8.34575370568055
"GSM7496126","1",14.9381877426358,11.8443926593914,11.9140293266329,10.0726359522732,6.20302699229639,7.93099099421377
"GSM7496127","1",15.631873816313,11.3391352818718,10.0944908994028,7.99740766822991,5.89294519897287,6.7194496058856
"GSM7496128","1",16.2373115485546,11.2997262101476,9.8155823061558,9.12073753840084,7.00178050108722,7.22828221688352
"GSM7496129","1",15.2351770001995,11.2540731498183,9.5065668605031,9.70527232370513,5.67401033297874,7.43039426925007
"GSM7496130","1",14.8340200053836,11.0340273405187,9.47375545084343,8.88878086662988,5.67678894330108,7.49660168259497
"GSM7496131","1",15.6850440597183,12.7936755375953,9.88160410222274,9.97514918475973,6.35812571413259,10.0643980999976
"GSM7496132","1",17.3218552484756,11.109089822898,9.84096440151347,8.40143594483783,5.34000634766789,9.06182688263025
"GSM7496133","1",14.8796619894021,10.7151808252597,9.43673749332786,8.65145740429482,5.91621335606374,8.84058391725342
"GSM7496134","1",14.6522399080753,10.7925094718127,9.88071783035342,8.76842260291776,5.41386472062659,8.619585316468
"GSM7496135","1",13.8989689050655,10.1576583558555,8.5547520581896,9.40320922379689,6.89560836534929,7.13327388688611
"GSM7496136","1",14.3360112992224,9.90012051453683,10.3836326646879,9.36681961171057,6.74700882310206,9.1305199875213
"GSM7496138","1",15.1038111346582,11.2138228189217,10.2219623115666,10.2795706603184,6.44822494416433,8.37387940808122
"GSM7496139","1",14.5881591274905,10.6224258523613,9.86549121212619,7.83454548350227,5.50598895551566,6.77037402617544
"GSM7496140","1",15.0532461600082,10.3278963250003,9.57013716402691,8.37324539447631,5.76895939024581,6.01596783204158
"GSM7496141","1",14.6435804043415,11.4769148704071,10.0443942301503,8.47672438697084,7.43142967948299,7.10299915611268
"GSM7496142","1",14.4828702940253,9.33931898724494,9.48523936178164,9.92495222098107,6.778226431296,7.93915711279379
"GSM7496143","1",15.4279026737448,9.97625368501298,10.2524740623807,8.97075786998287,6.49739716294428,5.80469414834089
"GSM7496144","1",14.5320222320483,11.9532512895815,9.54245016676018,10.7794632591151,5.79252181510024,8.84510329075756
"GSM7496145","1",14.9965048442239,11.5506034630197,10.5664732411592,9.93888890773436,7.54042287002137,6.9041571472016
"GSM7496146","1",15.994904516723,11.3271727887212,9.97458145463044,8.49069418462021,6.34215635525362,6.31271944372125
"GSM7496147","1",15.4672308961801,11.9364395175249,9.92533856834985,9.46029444550078,5.85667412835585,7.90634528216624
"GSM7496148","1",14.7313604442166,11.3197443583835,9.93017281263131,8.81189568762307,6.10015487538468,7.3905053310437
"GSM7496149","1",15.0466089126065,11.0260290789434,9.81931356502392,10.4903645819144,5.95486233750264,7.87162529587309
"GSM7496150","1",16.0009886687697,12.0512136787906,10.3352034798197,10.613275916691,6.51622610147161,8.35990309672673
"GSM7496151","1",14.1397640353136,12.1362880527495,10.7063806932101,9.78146242204314,6.93619602804482,10.1847670686345
"GSM7496152","0",14.4462809949216,10.8580583605661,9.33726657068637,7.65860098797924,6.30493796648048,7.24842554154844
"GSM7496153","0",15.6266561778273,9.63945780130708,9.31688044693264,7.86010779359431,5.43369577677151,7.46883476238237
"GSM7496154","0",14.5036577707063,10.2574939210114,9.51841875090642,7.50548354984835,5.62316922159991,8.84731185747001
"GSM7496155","0",14.3498699141194,10.1163622180241,9.45611420184711,7.15845634642933,5.92479724663048,7.78945977745713
"GSM7496156","0",15.5835691536017,10.6660146338428,9.4797857298825,9.18113693576852,6.99831368529218,8.30828156287132
"GSM7496157","0",13.2129131146742,10.4701331438791,9.10357066156515,8.973116508012,6.65276176900187,8.19629698401127
"GSM7496158","0",14.1658868088455,10.9962992775427,11.1803338832508,8.98390464645158,6.60632680198446,8.25260117753135
"GSM7496159","0",13.7964714824159,9.87099591911121,9.15109201078552,8.98673221342598,5.98607949351399,9.49490838216966
"GSM7496160","0",15.4375509018447,11.4221624039878,10.0012803663726,9.20348361713541,6.7351238984766,7.43493660284421
"GSM7496161","0",13.1261742030937,9.47414729480949,8.73950868872972,7.18836087218497,5.78943442570332,7.79853638071312
"GSM7496162","0",14.3398250344003,12.5922829311332,10.1760501471721,9.7641592281199,6.93005492872221,9.12380587280472
