"ID","Type","HLA-DRA","LUM","MARCKS","CXCL12","CCDC102B","SERPINA3"
"GSM5557972","1",15.833521939122,11.5852503570529,10.8416976976562,8.59710587718419,5.75017911853915,8.87362289123424
"GSM5557973","1",14.7937273656065,11.4718992212566,9.92667026277407,9.20227053120223,7.25067961845278,8.08712706521645
"GSM5557974","1",16.029688761664,13.3150594173264,9.85447591273886,8.76508921207149,6.02495812667423,8.13263440725431
"GSM5557975","1",15.6259058447798,10.8424452779648,10.8316681669112,9.95505707755918,6.73178915940297,8.53097430226364
"GSM5557976","1",16.029688761664,13.0245226554446,10.5132549998526,8.96995621953814,5.91830067000988,8.3550301436069
"GSM5557977","1",13.5156522729273,9.4433942204547,8.72296457552668,8.51401122791457,6.42630309725273,8.84930261402102
"GSM5557978","1",15.3757023930521,12.1091138556093,9.11401160671995,8.31733120940331,6.43476488065537,8.12856911465386
"GSM5557979","0",13.2154128317153,8.69299469008642,8.26846478749228,8.28137963109734,5.52306761166581,7.96821350137302
"GSM5557980","0",13.568923410992,8.58840887502681,8.43902482006878,8.52724921456863,5.83739897143945,7.80157123280215
"GSM5557981","0",13.4930461939291,10.4909723071716,9.36604446425543,9.49489653491691,5.35902322251966,8.1825269930924
"GSM5557982","0",14.7379199625837,8.48429970505211,9.31501784814709,9.08936129899131,5.98636306568234,7.78992905067686
"GSM5557983","0",12.2089970602194,8.66586383891939,8.38676714955122,7.09670575896735,5.85747546868361,7.74413845159821
"GSM5557984","0",13.8038432829173,9.10224264689922,9.19648843804919,9.10527020582704,5.96967258892324,8.43489882790274
"GSM5557985","0",14.8727125056271,10.5087928020388,9.90920170815995,9.17810212171337,6.31919226315877,7.74413845159821
