"ID","Type","PI3","S100A8","ABCG4","TRIM15","CYP2W1","F3"
"GSM1969475","1",12.9007425987713,13.4510551943721,4.30023793123407,4.26082456512405,1.52441153757554,5.27795177068117
"GSM1969476","1",13.1010746595571,13.3179384477732,4.34809695061548,4.56926254570213,2.75758958169656,6.60923004181782
"GSM1969477","1",12.550161492396,13.0434496524608,4.04299570205899,4.49204813967986,1.37402397121932,4.1644127557458
"GSM1969478","0",4.69944456822189,7.56895337141126,1.97627096031852,2.70244341699548,4.51250149404191,7.49551581667679
"GSM1969479","0",6.16458497888459,9.16790219974414,1.49199750795288,1.90008502398149,5.06068842946943,8.46292110261802
"GSM1969480","0",6.65437989021274,9.40369426639407,2.04387182519476,2.57403250263236,4.12149382151573,8.66677765456485
"GSM1969481","0",6.35642839302698,10.7663350716949,1.46537592842197,1.87154926523413,3.20849575737892,7.15648556541037
"GSM1969487","1",11.1877337061193,12.528525183059,4.36036082433196,3.43160898740666,2.85024772741927,4.53486175874595
"GSM1969488","1",12.4372624920379,14.1878409081054,4.53983214701225,3.86468109074894,2.60138056115881,5.30206383596521
"GSM1969489","1",13.0637246143259,13.1915291341424,4.58828940413593,4.16011012248631,2.9661916898681,5.02002573900651
"GSM1969490","1",8.73621255548553,11.7102183609435,3.2299906103173,3.03294765196561,2.14439640790861,6.48647770946274
"GSM1969491","1",12.7899657600739,13.3179384477732,4.72767879808428,4.83657546220312,1.9173596948289,5.58117925834402
"GSM1969492","1",12.5679876503473,12.8835031739893,4.64242991981115,4.28012816662962,2.02311611246005,5.30206383596521
"GSM1969493","0",7.76257270951757,10.4583091115417,1.82013090958667,2.04947811389414,4.99762267583618,8.13777355560605
"GSM1969494","0",5.05936318590496,9.25355095918372,2.38187614957596,2.40953224632405,4.77834790166517,7.48163311242234
"GSM1969495","0",4.97023239614854,8.08594166634174,1.62989130754557,2.48045199968146,4.41935822713741,7.79582062975975
"GSM1969496","0",8.83086888959811,11.7936042285877,1.89879917269486,1.8728081957671,3.85273668680171,8.45196107294346
