"ID","Type","PI3","S100A8","ABCG4","TRIM15","CYP2W1","F3"
"GSM2101293","0",6.17322339338367,7.34549046547964,2.49363594125818,2.92849308403225,3.20747430908808,7.77867790409448
"GSM2101294","0",6.26517857699137,9.3434146703732,2.73874252151308,3.1323969699994,3.84038749048102,6.87318196429998
"GSM2101295","0",6.52187476521818,10.6229338280496,2.6173183262948,2.91360158638817,3.08733570038606,6.77448791850677
"GSM2101296","0",6.9679891677961,9.06041498157623,3.30009608306452,2.86860665212724,3.40671510838211,6.79159666423176
"GSM2101297","0",6.84723189693084,10.1603706380883,2.72039547696173,2.8220477934889,3.10993484015076,6.52540467948434
"GSM2101298","0",6.90176339849949,8.60600729836489,3.07965505950051,2.71362820556087,5.39848342099394,6.7664080942245
"GSM2101299","0",6.82727198257794,9.96723433705804,2.53738474802255,2.67651262381752,3.01240019006283,7.47852125469103
"GSM2101300","0",6.05605853905225,8.08411741052155,2.58229410641195,2.69799999216521,3.73510351468593,7.22534710777597
"GSM2101301","0",6.20447318569316,8.828207983788,2.81403628434363,4.41138228160916,3.14365743050101,6.66516450644139
"GSM2101302","0",6.75277205976402,8.32015718252478,2.85916345267363,3.09958562215348,3.27526570691206,6.96040791971259
"GSM2101303","0",9.88760026454663,11.5289134396638,2.57063152380427,2.27748452289976,4.67354162356178,8.9121641373977
"GSM2101304","0",6.68506070221154,9.4520988845186,3.19675988009684,2.75373100970376,3.51935904739323,6.90923089697041
"GSM2101305","0",2.89686058784911,7.35400846118204,3.28563417961878,4.36208014656815,4.10736357060673,6.47726640067818
"GSM2101306","0",4.47551593589516,10.11977711573,2.89176623111375,2.73273828823298,3.45914812743577,6.8770223630744
"GSM2101307","0",3.98143656208524,4.99312225368096,2.97287762011602,2.60134904959648,3.3674998545022,6.4279937320688
"GSM2101308","0",3.31890927791219,5.54310228821371,2.87527315103135,2.6524952792789,3.27386519652208,7.94299836333758
"GSM2101309","0",5.37992028036747,4.9457268495272,2.71532683639228,2.37341067266381,3.28589100371261,7.52379814247764
"GSM2101310","0",6.57833373376792,8.31471237525852,2.60577683983527,2.86168354526703,3.37921227373979,7.71439715410234
"GSM2101311","0",2.77129109054853,7.8386574141583,2.71072902104052,2.84282098758561,3.47465941122559,7.70121635001916
"GSM2101312","0",4.21950235693915,11.101359629682,2.6889936290198,2.98790268807817,3.46437179796136,6.84793131647996
"GSM2101313","1",12.9135832253329,13.7638753956799,3.22609304667686,3.43129294329006,2.97642453265586,6.29859904697688
"GSM2101314","1",12.9135832253329,13.9247087124908,3.17441635758891,2.85575170586294,4.12341488339986,6.34000321751821
"GSM2101315","1",12.1472230956741,14.2717321765089,3.01192513054818,2.96193652003192,3.93478112784437,6.22640968416844
"GSM2101316","1",10.3278700914161,13.7638753956799,3.56173438948495,3.52877818917953,2.96777157080494,7.00735319345156
"GSM2101317","1",13.072553444929,13.6402924390557,3.68500414088267,3.19987848541356,2.91251127195306,6.16674985810554
"GSM2101318","1",12.9135832253329,13.9247087124908,3.48886698226273,3.09707496947246,2.98197286057572,6.45634372908403
"GSM2101319","1",12.9135832253329,13.6402924390557,2.62967228468281,3.26994551616899,3.18062105015934,6.20052214833185
"GSM2101320","1",12.50561832363,14.0946746791808,2.75111987646956,2.79045607360884,3.39919752190875,6.62574338454682
"GSM2101321","1",12.7609801023006,13.6402924390557,3.05427778785586,3.89100547893383,3.274744006696,6.40062255169131
"GSM2101322","1",12.50561832363,14.2717321765089,2.86470088316966,3.62390658479272,3.05148659128092,6.44445259058544
"GSM2101323","1",13.072553444929,14.0946746791808,3.03103396766432,3.06988350552459,3.02336784318305,6.33770052015745
"GSM2101324","1",12.9135832253329,13.7638753956799,3.05530587502282,3.55918230572316,3.455351415993,6.41363238530271
