"ID","Type","PROK2","CXCL5","ATP6V1C2","AHNAK2","PPM1L","SLC16A9","FCRL5"
"GSM261086",1,4.32159224410463,3.18258004596452,5.87248751603819,7.56560345451993,7.47290225177424,8.2340410811388,4.21892047720145
"GSM261087",1,4.37087887852751,3.69729275226209,4.63303353695104,7.06967887966651,5.9328628086459,7.7201912561903,6.95219559064617
"GSM261088",0,3.57590776057444,3.61603973838039,7.43365298046343,7.20331911079066,7.53414085888526,8.40374163355981,5.88971903280386
"GSM261089",1,4.60421933598194,3.02890587390624,6.3943210822937,7.62437780588729,5.57994160126191,8.32953341763766,5.12681369721106
"GSM261090",1,3.82706797697666,2.7168426942136,6.00882470094845,8.60784815772295,6.25094238288623,9.36838940875969,4.52406099979126
"GSM261091",0,3.65123353700258,4.05057077216204,9.23984275467962,9.5927496993041,7.62839974471957,10.8108151339104,5.53476381588476
"GSM261092",1,4.280753702102,2.89456252770995,4.70057216415789,6.9274950789174,5.31333931317328,8.43753019748864,5.96590547464292
"GSM261093",1,4.17094069124836,2.62454978781159,4.82658638911728,7.56276959980648,4.73244586503967,8.59153228929893,5.70065243526863
"GSM261094",1,4.64237594388291,2.60943284624574,4.94923374098499,8.21217247217306,5.37642720552469,8.7488887139609,4.51158180638602
"GSM261095",1,4.69986685853497,2.72474004380356,5.77101546663383,7.33253169249186,6.1537882064104,8.91614891251721,4.51193908390683
"GSM261096",0,3.48608734938776,4.99539435388868,7.08453576875021,8.45097224336773,6.44690524300094,9.7409952537747,7.50619565586009
"GSM261097",1,3.94045283642934,3.32794432031993,5.96814694491636,9.10874476647794,5.77290536161055,9.30742759367377,4.5096167800216
"GSM261098",1,4.05335007149989,3.08913789839083,5.79144963351095,8.17476968216452,6.52355117223793,9.21547004464202,5.94839887612351
"GSM261099",0,3.94590495111827,4.27526215508521,6.2617270409319,9.80778505028593,7.27117976682376,10.3671303094352,5.96569154562061
"GSM261100",1,3.23550645780662,2.78703480885268,7.68340997035493,9.98609390913455,6.00706076542509,9.88878867475085,4.95978645623504
"GSM261101",1,8.37824919445487,2.78856713041491,6.1003972964512,8.7611218447875,5.58684122607881,9.03693674010953,5.9873676457141
"GSM261102",0,5.21726362140314,3.93016565863757,8.01791133838089,7.95681754889492,7.01912263375455,9.94533356831483,5.88487026645009
"GSM261103",1,4.98922316688554,2.9710312672097,5.47740931032827,8.50942030141218,5.55403120365647,9.16572826064539,6.82010498724023
"GSM261104",1,6.31223344984658,2.99961495788977,5.32888573885035,7.85631397992549,5.66194212095637,8.88010044933912,7.33221127366739
"GSM261105",1,3.65954462049901,2.55986813725206,6.30737529037919,7.92341597655186,6.26415275984718,8.9288656554169,6.04448100939696
"GSM261106",1,3.34737968167472,2.95217192490533,5.40064883889864,8.29427241468361,6.57905242165411,9.15168464557336,5.34559513905788
"GSM261107",1,4.8421190814092,2.84331815854229,4.53994690732217,7.47527817197468,4.58512955138151,8.1737692395825,5.52397870123089
"GSM261108",1,3.58881470387236,2.64977415814368,6.45331547495659,8.25875204080241,6.20636472155143,9.03968601925061,5.6920267351235
"GSM261109",0,4.20274890379094,3.99128171479267,8.71022726476882,8.50377196963526,6.4687720482528,9.73165407368144,6.75512174766067
"GSM261110",1,4.58856659331586,2.8666860623663,4.74169460154171,7.92121641422915,6.93824512300396,9.48575921363607,4.77147568294825
"GSM261111",1,5.60781126743464,2.8615586786773,5.43599041870997,7.90175796056497,6.73262060018903,9.29672769647603,5.42205252851
"GSM261112",1,4.48017988377992,2.82475349346143,4.57038640461323,7.76132357915161,6.53591749836779,8.80967007443139,5.75475445984757
"GSM261113",0,5.21511807412181,3.80374912975358,7.38866605038005,8.45038910358915,7.31197882850777,10.3889759328806,6.83709141886234
"GSM261114",1,4.69987904914452,3.30221899870787,6.46720647337255,7.78414787469566,6.0318915631303,9.29234371081862,4.86087162261807
"GSM261115",1,4.44989840965021,3.02424997377485,5.7434981610827,8.03808990248342,5.8320772506875,9.52031096500376,4.45416220482818
"GSM261116",0,5.14848420230498,4.2013865751523,7.88638094712981,8.02732630949089,7.25654628090342,10.2984195608628,6.58212286812263
"GSM261117",0,4.23070197149602,4.19932383458776,7.24209060672875,8.64792003069116,7.64209103436335,9.97734834008902,5.76980138492818
"GSM261118",1,4.17001420492233,3.25769327023614,5.84446200322795,8.04331769944577,5.93008529253895,8.50858685606171,5.40579640131341
"GSM261119",1,4.87285160809238,2.98387919415456,4.91091703117756,7.95883404520875,5.49663574714262,8.33368387379273,5.56202875719655
"GSM261120",1,4.57164602725626,3.10896967553277,4.48021137907306,8.27809795871985,4.60568120766401,8.64797212402152,6.70174404856234
"GSM261121",1,7.08422818101093,2.84346549715404,5.44034194336618,7.54239039912348,6.06660560719485,8.45335712876029,5.29626532136397
"GSM261122",0,3.93216613415201,4.24246458010901,7.33379025404628,7.63498577425358,7.84798054988106,9.70347130874097,6.93807335813539
"GSM261123",1,6.25212155414061,2.95974512954943,5.1010288966935,6.57708945512567,6.08794242704114,8.33155026333962,4.72462128807706
"GSM261124",1,7.4828123509566,2.9710312672097,5.30110374201844,7.23716276238802,5.71585341415586,8.40769149607709,4.13858407466631
"GSM261125",1,3.20099484216201,2.87470128284566,5.72572149466472,8.40093584155152,7.32832419604484,10.3567181075591,3.78868178268431
"GSM261126",1,3.67803777519094,2.83786662990743,6.51384507704807,7.26968559319687,7.28242157119612,10.0447969972857,3.57155912932694
"GSM261127",0,3.7087610234833,4.77597769326626,6.26686205177926,9.44107197373883,6.63142849503872,9.40454293077917,8.11195969238382
"GSM261128",1,6.46439663828742,3.50622404054093,7.02026302311027,7.47365151890811,6.48627553204648,9.98141496735746,3.8131552928594
"GSM261129",1,6.21370894343904,3.07561221383191,6.23602510872894,7.70634475160623,6.50986969713869,9.92684336865352,3.65038986231012
"GSM261130",1,4.50599959481323,2.55541851117713,4.60490214762849,8.1079132180765,4.50222609358868,8.70875348449201,5.81204646229083
"GSM261131",1,5.59390178193464,3.47310232061888,4.78996370350692,7.76774834723841,4.88701512711844,8.28152187495376,6.09886375202796
"GSM261132",1,3.58876594143415,2.34702277871383,5.53776951000005,7.43581904695746,5.11948242927082,8.30763471930539,5.30060369125945
"GSM261133",1,4.43047876863224,2.99398662292081,4.90750780748096,7.36290611359015,4.72133580061189,7.63288306725042,6.11249133746435
"GSM261134",0,4.0379196720245,4.16847112928671,9.0134681836952,9.22035868280767,7.34175615666492,9.83542609253569,7.34667124282096
