"ID","Type","C15orf48","CEACAM6","AQP7","DPP10"
"GSM2332098",0,27.7291792551191,24.5359296090244,7.54779805671251,5.8549429416149
"GSM2332099",0,29.0168476560471,23.6751268990561,8.15086967773378,5.80389542348224
"GSM2332100",0,28.5081895049113,25.2583939768755,7.63535633605268,5.46750536809528
"GSM2332101",0,28.4135080048431,23.1234369174661,7.61009484099198,6.68370158001638
"GSM2332102",0,28.0639147738219,24.8203687653618,6.96022611407656,5.67202266830623
"GSM2332103",0,27.6749923043109,23.2537355563341,8.30884716896881,5.62621079305897
"GSM2332104",0,27.6315844781257,24.9725686648055,7.75980086924254,7.05826819810939
"GSM2332105",0,27.6924719658619,24.9143501240347,7.77507699457423,5.16765573701267
"GSM2332106",0,26.8598574206465,23.222685667923,6.92788543898411,5.24968080888394
"GSM2332107",0,27.709951627413,24.9578754140395,8.06264073923271,6.02062922375913
"GSM2332108",0,29.0611294653098,23.7777024232713,8.19908261963428,5.80062314667887
"GSM2332109",0,28.5434401557059,23.6842755268915,8.09848374549877,7.02347298810016
"GSM2332110",0,29.3638189378356,22.3072684220887,7.87381292659612,6.37098099350716
"GSM2332111",0,28.0790638138328,22.1680983865318,7.27610657886208,6.7013718747546
"GSM2332112",0,27.3586104302367,23.6948103104595,6.72899773893397,5.85516109340179
"GSM2332113",0,29.0203435883573,23.2071607237174,7.96412836026445,6.65141511555641
"GSM2332114",0,28.7834941743405,22.9765044098064,7.02721751248236,7.25776800722182
"GSM2332115",0,28.4650730064187,22.9124640149585,8.19043856822708,5.36650109076443
"GSM2332116",0,28.3473766186416,24.2148959413454,7.87463262112611,6.1274145234426
"GSM2332117",0,28.5725729249577,24.9013202601479,7.83446758915645,6.59022353933329
"GSM2332118",0,28.9250794329041,23.6310471467582,7.35263624088961,7.16974376121103
"GSM2332119",1,40.529458003318,15.7436307479875,5.31258153470109,4.06238126448746
"GSM2332120",1,40.7718426434926,17.3748588141562,5.31362478228472,4.04896492959362
"GSM2332121",1,41.4063543577961,17.4491567614256,5.74262309220927,4.01177004992859
"GSM2332122",1,40.3095055954672,16.5545318515809,5.49544793257409,3.96574002289444
"GSM2332123",1,40.1830693769145,14.0880063409244,5.28374319078224,4.38524590908714
"GSM2332124",1,39.7900683197082,16.5096204058434,5.39656296518311,3.86288145537502
"GSM2332125",1,41.4555887378315,15.5340440012126,6.69793980807393,4.77781004959871
"GSM2332126",1,41.091137794492,16.8960806241029,6.34807927913598,4.03565767059323
"GSM2332127",1,42.362491844639,16.3751632997775,6.07288547011194,3.78456496388091
"GSM2332128",1,38.8986055806042,16.0100498798006,5.19402389859027,3.93214464771313
"GSM2332129",1,41.8751006150569,17.1270141691605,6.89280355315865,4.45156405230221
"GSM2332130",1,39.5942961103363,16.9138234174807,5.01123201840181,3.97446609437011
"GSM2332131",1,41.2924452300217,17.0396863580043,6.94794663972182,4.2328668859433
"GSM2332132",1,41.6397078395027,14.2568401091598,6.77923860191234,5.37401888317366
"GSM2332133",1,38.0429761476799,16.9978244548786,5.22837655116543,3.71835589655928
"GSM2332134",1,41.0352028775286,17.7283285259789,5.3606454412325,5.57777265213049
"GSM2332135",1,39.629546761131,16.5891857448968,4.78790251782097,3.78194714243821
"GSM2332136",1,41.1998030238011,16.3224893819372,5.61676272301306,3.97195734882086
"GSM2332137",1,40.6389972157046,16.7607918245975,6.3333247775961,4.10241211738208
"GSM2332138",1,41.7888676180717,18.3096822402474,5.89098780213802,4.07045288060245
"GSM2332139",1,41.3976145270205,17.0383002022716,5.55245396125088,3.94752434868899
"GSM2332140",1,41.6796197333776,16.9504179288224,5.1373904583362,4.53129853041111
"GSM2332141",1,41.4500535116737,17.4147800992562,5.35520565026073,4.09117730035716
"GSM2332142",1,39.621680913433,17.1841237853452,5.40900741850209,4.02922219287992
"GSM2332143",1,40.2191940107867,16.2784096296393,5.42838201648375,4.14418818457183
"GSM2332144",1,40.19064389692,10.3561978775158,4.76890050826204,4.07372515740582
"GSM2332145",1,40.6124863956855,17.7252789833671,5.67429037548167,3.92385487981124
"GSM2332146",1,41.7419638595764,14.0167579362668,5.73047670962847,4.1345895059486
"GSM2332147",1,41.2032989561113,18.0088864462649,5.44015581064183,3.94436114777906
"GSM2332148",1,40.7864090281185,17.1139843052737,5.48553708052963,3.95668672373844
"GSM2332149",1,42.5570987432408,16.1081897056714,6.48943932671751,4.14964197924413
"GSM2332150",1,41.0086920575095,17.222381683566,5.27196939662416,3.68530590084519
"GSM2332151",1,41.537451819429,17.2085201262396,5.91118209464967,3.73678972255163
"GSM2332152",1,40.1207252507157,16.5378979827892,5.20207180852111,3.98351939352612
"GSM2332153",1,41.3384750054395,17.7812796749657,5.62190444324666,3.93705306291819
"GSM2332154",1,40.8231163173757,17.1405984953403,5.14864262870247,4.017987375855
"GSM2332155",1,40.7467884619361,17.9609254579156,5.43955966916547,4.0808150904798
"GSM2332156",1,39.7087878934958,16.6523944463051,5.68919391239063,4.02344117052729
"GSM2332157",1,38.5734838757545,17.7851609110171,5.55550918631722,3.87727947330987
"GSM2332158",1,38.6122304588594,15.276773497235,5.08716553895299,3.80561661131595
"GSM2332159",1,37.8419600398427,16.1824876529408,5.03708965493887,4.235484707386
"GSM2332160",1,40.8825471666494,17.4832561924485,5.25565002370884,3.84052089721862
"GSM2332161",1,38.2518581032151,16.2027255266373,4.88127317655564,3.9287632950163
"GSM2332162",1,38.8015934589958,16.3895793193969,4.76502558866571,3.8868781519331
"GSM2332163",1,38.2935179632451,16.6072057694211,5.50848852736943,4.01962351425669
