"ID","Type","BATF2","SERPING1","EPB41L3"
"GSM2203587",0,2.06430273849732,1.39980574956211,2.50536906864327
"GSM2203588",0,2.24747740414064,1.56308559168462,2.97952598961822
"GSM2203589",0,2.52759178067473,2.34968405534457,1.19149077620638
"GSM2203590",0,4.30462597698244,4.32363638845909,2.90641161554764
"GSM2203591",0,3.1140928346711,3.39509528830464,3.06469136616077
"GSM2203592",0,2.23369403568606,2.49372616181006,2.66675483758825
"GSM2203593",0,2.15305663105391,0.918272877856763,2.22703709122342
"GSM2203594",0,2.45595143060798,1.23937895543152,3.26635229195705
"GSM2203595",0,1.58148556382702,0.228594966172019,2.75862471119679
"GSM2203596",0,3.33050131900307,2.89868337166519,3.80821890984823
"GSM2203597",0,1.07786453687477,-0.279729703007114,3.09784120239608
"GSM2203598",0,0.853698492878946,-0.505989276986673,3.01434056257852
"GSM2203599",0,1.75569899729371,1.28562492248318,3.4398740247433
"GSM2203600",0,0.957891834998211,1.66907453197119,3.41229125918965
"GSM2203601",0,2.48760735357077,1.62542678761468,2.14384555520719
"GSM2203602",0,0.958974757885887,1.6461401536969,2.66569190665715
"GSM2203603",0,2.88458110414788,3.38722449763654,3.02996615962696
"GSM2203604",0,1.21063297589737,1.6728381055851,2.37916503886286
"GSM2203605",0,1.37247530839959,0.926942422429407,3.01247917597709
"GSM2203606",0,1.84528435164373,1.16225027495199,3.20865272826143
"GSM2203607",0,1.25526203733038,-0.100675271090269,2.39164439409611
"GSM2203608",0,1.04589919299769,0.628493147387171,2.45233302341686
"GSM2203609",0,1.44346934609805,0.673602810963209,3.17614795173279
"GSM2203610",0,1.35281344569692,0.359502956364722,2.81351906573289
"GSM2203611",0,1.4539010068342,0.461534639561512,3.44482657432409
"GSM2203612",0,2.28231326848016,2.51421486724802,3.2060628670403
"GSM2203613",0,1.07786453687477,1.1864622329027,3.39344639322519
"GSM2203614",0,1.41261731376429,0.967459136794291,2.18868966238472
"GSM2203615",0,1.29850740868456,0.622467326399648,3.10709753972845
"GSM2203616",0,1.15815116384604,-0.198693227342749,2.06722583343459
"GSM2203617",0,1.49999073623205,0.146339107282031,2.75458978814242
"GSM2203618",0,1.1643912025966,1.46983466617325,2.67948067295496
"GSM2203619",0,0.893473721257432,-0.0479794513197087,1.33182402697177
"GSM2203620",0,2.6810772328739,2.28244420109882,2.08525438918835
"GSM2203621",0,2.86630061715623,1.45522400539487,1.2326933694278
"GSM2203622",0,1.01978859594244,-0.338347951117881,0.933601388371704
"GSM2203623",0,1.32700411895627,1.09335075543138,2.50676712757889
"GSM2203624",0,1.42967661954753,0.075368180058059,2.51695749324642
"GSM2203625",0,0.51369220167586,1.70876613644727,3.73808397900833
"GSM2203626",0,1.38017893323091,2.57177501653782,3.26168799244932
"GSM2203627",0,2.57039712027014,0.998521009976459,2.7790091915167
"GSM2203628",0,1.17821472030151,2.59767477312616,3.12616734478422
"GSM2203629",0,1.12161031480026,-0.235575354991646,3.13024096048646
"GSM2203630",0,1.09684174920319,0.755069615357123,2.75281405022416
"GSM2203631",0,1.4539010068342,0.684132001284741,3.51915654111322
"GSM2203632",0,1.24616043371459,1.3777208566534,2.64628617693756
"GSM2203633",0,1.939765499543,0.656835733006219,2.31322291020205
"GSM2203634",0,1.83477702114252,0.484252076092512,1.77750053483178
"GSM2203635",0,2.53256364648778,1.316050900415,1.77226429644283
"GSM2203636",0,3.01415963994967,2.0477010471215,3.36152855151719
"GSM2203637",0,1.7088396902853,1.65209315294756,3.14774806368838
"GSM2203638",0,1.27193856680209,0.867242106278844,1.85809636745882
"GSM2203639",0,3.06937019227864,2.20027599236073,3.7998608761495
"GSM2203640",0,1.73943472716699,1.3792018699964,2.83593112202871
"GSM2203641",0,2.36187398895526,2.82145302513461,3.88132209944731
"GSM2203642",0,0.989063551964396,-0.369360057701636,3.20276835287408
"GSM2203643",0,0.810496289515735,-0.54959497364575,2.89038528325972
"GSM2203644",0,0.999232783515356,0.796203943364769,3.48277775108435
"GSM2203645",0,3.00258458088861,2.35750888808251,2.45953877537877
"GSM2203646",0,1.7088396902853,0.357138636682125,2.85205870814927
"GSM2203647",0,0.936811164200742,0.406234706355588,2.13247300964862
"GSM2203648",1,5.24078012431423,4.63549804481203,4.21723386496293
"GSM2203649",1,5.19130538042638,4.73934397443222,5.04213409342253
"GSM2203650",1,7.08991050052339,6.08191801586553,4.96272715761772
"GSM2203651",1,5.39491284481622,4.25328684157798,3.23631614050767
"GSM2203652",1,6.62518000969648,5.63216385948848,4.16318631238102
"GSM2203653",1,5.86858851818209,5.86539167132634,4.24522784729289
"GSM2203654",1,6.19335238296078,6.53082380408635,4.27784214104162
"GSM2203655",1,6.6504988917099,6.55579414405819,5.08232867834098
"GSM2203656",1,7.00043060084595,7.110088829579,4.88473468255728
"GSM2203657",1,4.96669059057384,5.58814357659527,3.59640056705511
"GSM2203658",1,6.72438629167487,6.46324695887419,3.87125033113365
"GSM2203659",1,6.11519135188983,6.06561854080465,4.66507947297713
"GSM2203660",1,6.36673918461904,5.94092020332014,3.71904042131281
"GSM2203661",1,5.35867186740188,5.11370285142182,3.42090943004129
"GSM2203662",1,6.00711087808957,5.53691952779943,3.77331363154147
"GSM2203663",1,5.60616426359765,6.54279896800302,4.94173627899746
"GSM2203664",1,4.69840488756337,3.61056535068481,3.10239469262607
"GSM2203665",1,6.6837411628723,5.80601250208228,3.639813780438
"GSM2203666",1,6.94688216710634,6.19781629841217,4.64871352952362
"GSM2203667",1,7.03143105459388,6.26419925308483,4.86752028134793
