"ID","DCAF16","ADAT1","CCNA1","Type"
"GSM1256653",5.85947414803118,6.76769034617644,4.82195775622705,1
"GSM1256654",7.07197033729865,6.88846910804972,5.29603573992125,1
"GSM1256655",7.93987513063233,4.68383285676959,5.88937692342592,1
"GSM1256656",6.1562902195761,6.04447482189321,4.82664592157088,1
"GSM1256657",7.06579561499792,6.20739968324012,4.81379643296666,1
"GSM1256658",5.64029838307027,6.54805403251385,4.81453513406942,1
"GSM1256659",6.55086343147596,5.50092223810136,4.68742029500528,1
"GSM1256660",6.60292220399953,6.81911976222245,4.89557119137248,1
"GSM1256661",5.85252173938377,6.38687373778796,4.83802986046503,1
"GSM1256662",5.51947580650047,6.54626234707529,4.81006011043905,1
"GSM1256663",6.47735481683376,7.0165482303538,8.88220792820654,1
"GSM1256664",6.40717752634892,7.14628357034819,7.31688075556012,1
"GSM1256665",7.52719441621293,6.02125929686325,4.74223115311889,1
"GSM1256666",7.37263315332341,5.64444230187023,4.96864816267809,1
"GSM1256667",7.78541637328048,5.68600707582732,5.71164490158274,1
"GSM1256668",7.7777785053337,5.85030502514177,4.84126141854816,1
"GSM1256669",6.49281339942732,5.88453559274077,4.84126141854816,1
"GSM1256670",7.30149482603077,6.08900956678722,4.79145531025992,1
"GSM1256671",7.11055323988408,5.60138636426771,4.79405605116341,1
"GSM1256672",6.71474323788828,6.99543864309947,4.56593293363765,1
"GSM1256673",6.48175508047799,8.38968164804189,5.07864810457355,1
"GSM1256674",6.60264121670012,6.52031688286267,4.79037122212675,1
"GSM1256675",6.49970952698273,7.40902637824245,5.01568978812675,1
"GSM1256676",5.49428682086803,6.93490868083957,4.79912169482257,1
"GSM1256677",5.51966633402442,6.40019569225324,4.79328060066069,1
"GSM1256678",5.45078495294221,6.23170306835267,4.72001270625171,1
"GSM1256679",5.39739477576149,6.92423356850887,4.7335181679362,1
"GSM1256680",6.38385263719807,7.42026910564296,8.11332999496373,1
"GSM1256681",6.81323753599083,7.1788116337247,4.62748063965944,1
"GSM1256682",5.51614160345031,6.69675129207032,6.38105941423268,1
"GSM1256683",6.86014412946888,7.80112385077641,4.56593293363765,1
"GSM1256684",5.53713564417015,6.4302019469407,7.68195507770208,1
"GSM1256685",7.20685253936063,5.36535830770098,4.65727279817036,1
"GSM1256686",5.33479833821017,5.85413881588857,4.71389131034399,1
"GSM1256687",6.41416126816833,8.22908061058614,5.37130798632498,1
"GSM1256688",5.88975483017109,6.13393361143236,4.81827336846857,1
"GSM1256689",7.37401143799915,6.65575438333293,4.94251977702242,1
"GSM1256690",6.77762399326281,8.18822000677347,4.92372782878915,1
"GSM1256691",5.67507729801318,6.4676777414463,5.38010549538402,1
"GSM1256692",7.42130178516541,6.69957207233018,4.75788908675885,1
"GSM1256693",7.39142041523514,7.75780947637053,8.16005408977902,1
"GSM1256694",5.52965217273258,7.58602837374818,4.99438062201138,1
"GSM1256695",5.59567678382452,6.44295603406154,5.09580265463476,1
"GSM1256696",6.99453525194807,8.05733219454161,5.14938305605227,1
"GSM1256697",7.3795301388006,6.08384164401578,4.65131288338264,1
"GSM1256698",7.01473981334472,7.79988390177322,6.35471918081945,1
"GSM1256699",5.51161029686174,6.15279279521831,4.6975864415214,1
"GSM1256700",6.25969667053842,6.59167225627426,4.83990159251693,1
"GSM1256701",6.22876802911583,7.41073931133779,4.8178993163158,1
"GSM1256702",6.75981044632257,6.69800690365676,4.70711207006169,1
"GSM1256703",5.51926206865113,6.08900956678722,4.71994834678385,1
"GSM1256704",5.30919928493084,6.78045552928898,4.68773755637231,1
"GSM1256705",5.1690730520416,6.64456215560531,5.0118531925506,1
"GSM1256706",7.38886137876801,7.64628921826304,7.93069445045587,1
"GSM1256707",5.88768497705147,7.41519156525987,7.34762032241886,1
"GSM1256708",7.48625309666703,7.77831097456356,4.98364305816727,1
"GSM1256709",7.08691710211817,6.99493151421253,5.82511029792027,1
"GSM1256710",6.91983391097096,7.71446863451492,4.56593293363765,1
"GSM1256711",7.20915459513731,8.15411694879764,4.80570130662994,1
"GSM1256712",5.58836271514685,8.04982038418548,5.01711012926128,1
"GSM1256713",6.1118740500787,6.76330428739246,4.87940047998731,1
