"ID","Type","MMP11","PKMYT1","IQGAP3","INHBA","BGN","CTHRC1","P4HA3","PRC1","ARHGAP20","NPR1","HSPB6","CLEC3B","PGM5","SAMD5","GSTM5","HBB","TMEM88","SEMA3G","NDRG2","ITM2A","CX3CL1","EGR2","EIF3L"
"GSM662768","0",4.04813759025618,4.36443910689091,3.25139198807145,4.07812095682083,6.91706726582237,7.89575738375663,2.32123463721252,1.03081589333741,3.58460298464125,5.10177946266251,5.09933135420749,7.20475531627306,5.67866447011198,3.48386701430054,4.81001956866348,10.1555746694461,4.68508814465623,6.80494789821551,7.97458500053086,8.83938789991552,6.58602092528618,7.60153020583062,9.63724463055865
"GSM662769","1",9.34014165961293,3.75379715419848,4.96910675885316,8.29643908521017,9.85605188026888,9.42188568937468,4.69043823093201,4.56500884925169,4.11704375992871,4.40613480806068,4.46665376174349,4.61381851878102,3.37928001283924,3.77092760938926,4.04942366062097,6.11181686929531,3.511108022243,4.93832777592656,6.60671241966751,6.53013797990254,5.85221492529606,5.76992680119743,9.40899060284446
"GSM662770","0",3.73695223230018,4.17980460020002,3.50956778595006,2.76798270715338,7.04054025159188,6.77432911880834,3.03459553760494,3.49428623535729,3.87672508168678,4.84045609850701,4.27384020085913,6.22450318963626,6.86238726670101,4.1060756128235,5.87504908794271,8.0255045524856,4.38868806637579,7.07873421273198,9.01028378031491,8.25856894905358,6.77677613304113,7.68576910262505,10.1122819692333
"GSM662771","1",6.90299934455791,4.20022041172681,4.98977359630421,7.35658382764532,9.88158826951508,9.10619981840988,6.13843143558494,4.60074194076657,3.34599290739668,4.72017371025538,5.11164535205942,2.91857364765894,2.31884160759536,4.47619616493548,3.99645251008155,2.6310079801426,3.49044480314681,2.72809920960372,7.49197896784643,5.86456904706797,5.63403411523915,5.80826576714378,9.87118876207542
"GSM662772","0",5.03174809781061,4.15382952758771,3.84409790192427,4.5671129622321,9.09333244774326,7.11805832516055,2.83112777982698,3.90775235478728,4.2426326599796,5.28198820434767,4.45513116349198,9.47493224875053,5.64819919556017,3.81024701500133,5.69007256607083,8.86897746590873,5.15799907189479,6.87205339374365,7.63708978217518,6.58505396833511,5.83018784309255,6.00608245798882,9.42942414681302
"GSM662773","1",5.38253923241112,4.91196394302134,4.13290369925422,6.31766668472154,10.0275104937791,6.21532776382152,3.73597497848062,3.02353235678995,2.46528869028486,6.35327240319272,4.38272693328482,5.34078445205324,3.43429684396829,3.76911599263227,5.54867771995788,7.15399239577451,4.14914139757284,4.06683211291539,8.44682872335131,5.53322229051042,7.16837875718935,6.33946182967946,9.92769166317122
"GSM662774","0",4.88726238805936,3.84302917878817,3.6989146902397,3.95322064866711,6.87114807244048,7.91080457525726,2.69061736204503,2.80907225537021,3.82383226054628,5.41674651384013,4.23441677631958,8.77235523577679,5.52079995673131,3.99765787808376,3.69422457463744,6.12800302191607,4.36107959241735,7.04328934400478,7.93364188137333,8.52934433765389,6.89002700479023,5.22719320594288,9.57679486852599
"GSM662775","1",7.54220565553326,4.45182641169182,4.78446407076082,7.01183795605135,10.3623424294998,8.05784421154204,3.97732439380947,4.77991008131654,2.30080821904364,5.02486726317156,4.60526868411792,4.59313623456801,3.12556375807345,3.9257933197841,2.35415097735319,8.48145722099246,4.32685289217329,4.3665982052821,7.31805777000573,6.75302867874026,6.32860130191347,7.43688872410152,9.46605262859487
"GSM662776","0",4.87267115237926,4.74114822703343,3.81400501329137,2.76537609202669,9.87053025866106,8.11220611677229,3.13452312783854,3.56115159115339,3.67488124177393,5.43684561943062,4.73593146616034,9.19944167863968,6.44379105367106,4.56459435695343,5.01233376684474,6.27715129061153,6.91074884127999,8.62413148614058,8.37066346556453,7.43651434076258,7.37501417871008,6.71596928540899,8.87355247944809
"GSM662777","1",8.13268327069044,3.51924420754081,3.05417693190504,7.48000098113466,8.56319662644853,8.88837245881,5.59583339590725,2.62261627164739,4.25676384876438,5.1407835359599,4.83411369461573,4.44355452187564,3.66829053672449,5.3737462261141,2.82255891783081,6.40219702981088,3.2353317127041,6.58411911346234,5.79362024167683,6.95855968563342,6.90576718297343,7.25452909713223,9.46605262859487
"GSM662778","0",6.65381099716771,4.25711999048677,5.4272791789362,3.57544947726688,8.15685287638591,6.61463947759712,1.67538893968122,4.5971590515923,3.68302068808625,4.82045146991007,4.44238633242685,6.89635574252537,5.26963222685334,5.81429098406597,3.99983792243868,8.50819336449696,5.7396686496036,8.13726822613448,7.93753486642507,10.0647295624465,8.12636732694533,7.69242658540142,9.81786258160843
"GSM662779","1",10.3818607773691,4.06630796921821,5.84047141194366,8.88348454759244,9.32654465295522,9.42188568937468,5.33621286678703,4.51625882468567,3.00813204478588,4.4169830413662,4.80554041355627,2.44879682562016,1.75608270317775,3.3318606752104,1.83482951903258,5.43917796156738,2.72483615363936,3.22206539999039,5.86824098913387,4.60381015418487,8.23465056333315,6.08759427223805,8.2472894802256
