"ID","Type","MMP11","PKMYT1","IQGAP3","INHBA","BGN","CTHRC1","P4HA3","PRC1","ARHGAP20","NPR1","HSPB6","CLEC3B","PGM5","SAMD5","GSTM5","HBB","TMEM88","SEMA3G","NDRG2","ITM2A","CX3CL1","EGR2","EIF3L"
"TCGA-D8-A146-01A","1",10.0195639906421,4.51312922339278,4.88561047955543,8.85196817344301,10.7573267951438,9.84592128884913,5.40631150557084,3.89470531074129,3.22300413087769,4.82509365918334,4.39864773234854,4.8103254006579,4.07140338839336,3.82043987619427,2.10700314716615,6.96595597186564,3.20223072243838,5.94561421500071,6.35746405422777,6.19979297314056,6.01547477778079,7.23326115738831,9.07043782340907
"TCGA-AQ-A0Y5-01A","1",9.74805972199554,3.80752933012232,3.59137498827355,9.03390200986427,10.1815051093411,10.595421526618,5.27660624166553,3.75042763436489,3.7701012226073,3.92526224211384,2.92538680696325,3.32079545783115,2.91183223188253,3.32455286178917,3.5993019213659,4.13845783494889,3.56772143734912,2.2938259840798,4.74805173370426,4.34548818614898,5.11712011768042,6.71441020175961,9.64563436477902
"TCGA-C8-A274-01A","1",8.8074238993461,4.74357850536542,5.9529839901772,6.64781476972168,8.41737123897868,8.26707758614677,4.01477745102557,4.13847449973874,2.42303481184175,2.54324630733036,2.43083093434942,4.01769365612687,2.48515510016551,2.13255999856284,2.17312207754673,3.41890533665693,3.50716260961928,3.35119296074262,6.99669712113829,3.92230320235065,6.37584851517141,4.33094165273426,8.9872802785538
"TCGA-BH-A0BD-01A","1",9.51238490593211,5.1718572628093,6.84909367001605,7.41573373731439,10.1091151148852,9.32172281349301,4.53871739362897,4.63125612112365,2.95424888797286,4.762085045801,4.02477709151455,4.1131840580792,3.16080248765332,3.33591057286846,2.49276500776773,4.87363255340821,3.15925688637706,5.70231398486434,6.6222417796483,5.96163051494252,5.29022647111577,6.08981828656413,9.31671703003464
"TCGA-B6-A1KC-01B","1",6.28577422192715,3.32684936038214,4.82884608505039,5.95965044311994,8.59426016957578,6.85162616542959,2.815254644875,3.87790364633724,1.80551381351406,3.46865005807662,2.38463840483241,4.78459990593928,3.20872501050321,2.51501314761712,2.34496575781621,5.20613692208803,3.16456001908782,3.60588193454815,4.09680288525932,5.60760458401777,4.30468956884436,4.43142367858071,9.30516007943711
"TCGA-AC-A62V-01A","1",10.5479475466319,7.51325041193573,4.86388872628165,5.63125443796151,10.0238885357607,9.69491197179275,4.57336893630618,4.16749115226028,1.85028107723914,4.46732069757944,4.17411680089095,6.00576817741308,2.76964991602498,2.43327320349431,2.92551565902195,8.85086465173559,3.89043660740296,3.82556578180896,4.46232472865782,4.64517801013626,4.71085335638426,4.34014427436431,8.28141617810516
"TCGA-AO-A0J5-01A","1",8.7159094236355,4.7452650190876,5.57431409306098,8.65128008713041,11.3698706893598,9.81912043286986,6.23092941335538,3.99520689476915,3.14249916673792,5.18629412735453,4.80965250629734,5.99321393163686,4.71291887416871,2.85853195418425,4.21186188005751,7.4190086318192,3.85742424356757,5.89476242977649,6.06120312632585,7.10831228143301,5.44837123607606,7.28142203956329,9.65390726299947
"TCGA-BH-A0B1-01A","1",8.61779161989681,5.42391719424087,4.83048872467937,7.14423942155761,9.53367739802437,9.7436142243789,5.04477301930821,4.02298360352936,3.04159807027961,3.99967142221309,3.66800659836552,4.21416504928373,3.87438850421491,3.7755033724211,5.55753600286753,6.81382683009258,3.92542989169919,5.63633015796427,7.05507385298714,6.98903555876619,5.34222811004095,6.27832816815152,8.79759521702631
"TCGA-A2-A0YM-01A","1",7.52358407691986,5.85001513714614,7.76835017174475,7.66805510724004,9.07680126896032,10.2922941481377,3.72891914163384,4.47668250150817,2.27266075081645,4.26188899606861,3.0286414656452,4.1611613797779,2.47632615687856,2.77954018638249,2.25755962138132,3.82920434613456,2.93321778086266,3.41964397028398,7.24905680279495,4.40314109238599,6.7067379903236,6.17989656780708,9.57942527649211
"TCGA-AO-A03N-01B","1",7.90771342680442,4.35809833412236,4.12202643301438,6.4638905195503,10.4010923556128,8.9018827902067,4.36252165433668,3.78109061907292,1.75341665303874,3.35610603316132,4.29093437399166,4.76999020324301,1.99347795861572,2.17597644255453,2.22503597166526,3.13143933767795,3.569817682145,3.22322878935395,5.51964447248954,3.71226560178776,3.40741293214366,3.8855906711155,6.54363496552887
"TCGA-AO-A1KQ-01A","1",9.3419433332997,6.25895067753241,5.18433080976135,6.85418714882799,10.3067437284405,8.74461164471465,4.21122112411316,4.22421418284295,1.82454603298204,3.28259092396048,2.68066259123354,4.37452795336028,2.52421442586799,2.10811028087176,2.65469598302112,6.46130091373787,3.47459841367475,3.70304357796746,4.20646778132232,4.95495675613454,4.38109712544893,6.01262317123965,7.90378665787934
"TCGA-E2-A1LI-01A","1",4.86668992230262,5.47247850756346,7.48037217996436,5.28072484045704,8.80223489486311,9.77559271362244,2.98740312120069,4.24215422768227,1.8374688241297,3.54394114296986,6.7848830851644,3.87610619491016,2.32972983860571,2.55789426840585,1.96020462628722,3.89281082953049,2.99280026018166,3.558937314798,7.74456436196653,5.17057167506306,6.6343843449789,5.16286732956487,9.25429630708261
"TCGA-BH-A18L-11A","0",3.04756965653572,2.31965539179283,2.45720743659041,4.53441729371885,7.53077331879695,7.20119899407895,2.68181593168371,5.54520677708234,5.34611009990614,7.85183964985592,7.77777291893463,9.98630118003914,5.64616334315721,5.51170833948678,4.47145163693338,8.35842788767002,5.68296040043189,8.54545509059,8.81779877195262,8.52887608495069,8.53785754749547,8.96959595284298,9.58634011026354
