ID,ASPN,ISLR,SCN2B,HTRA1,HMGN2,SERPINA3,HMOX2,FCN3,GGT5,LAD1,ITPK1,FLII,FAM89B,TRIM8,Type
S24,6.670835825,3.748243432,3.771078373,0.411808508,7.406438936,12.36698497,10.49566095,9.769679488,6.64185571,9.947912244,6.035277741,8.250675422,6.859774239,7.879753785,0
S25,5.618480165,5.700529049,3.746238756,10.70698192,7.522160528,25.11726317,13.71514013,14.21573858,7.520164903,3.988385741,7.871587431,7.426839069,8.360641136,9.293397441,0
S26,5.3938593,5.042168664,4.790148067,8.036762998,10.33390951,22.39033955,17.29526341,10.21165823,6.597230771,5.620939354,7.894975853,11.00999765,8.372778532,7.487178793,0
S27,5.911834472,1.742578623,3.843115345,2.731115803,7.829251683,20.51044529,15.76370384,11.98126788,7.371395391,6.290629798,7.88703809,8.202349596,6.714837767,9.070460695,0
S28,6.910051563,4.38479407,3.895582772,1.151481754,6.744820972,16.84378427,15.00093051,9.780798485,6.728869273,6.349237343,8.278982551,10.99866815,11.06631115,9.407718575,0
S29,5.147006009,2.729525288,4.956161891,2.513041597,8.257173131,21.8697298,17.63057537,15.26563543,7.389003322,5.775309554,7.426292118,7.640014777,11.58338061,8.278240623,0
S30,6.975885538,6.035356939,5.00363763,5.866028468,10.78010764,24.31468976,11.09130789,13.74184549,7.411388813,9.867679497,8.453344106,11.66842533,14.22107449,8.982828219,0
S31,6.83702162,6.363627857,5.673012205,10.15820843,8.148460494,-1.232029187,16.63241756,9.37036829,6.005449203,2.401818154,7.364139042,6.894311629,9.716524878,8.273025202,0
S32,6.355367031,3.439468288,4.250163144,5.304856926,8.870080279,17.59819816,14.15711949,9.653259683,7.330961342,6.993406327,7.167581435,8.856353781,8.615186182,7.59483996,0
S33,6.365924569,3.565732447,4.567195178,8.358122639,7.676974994,14.84133002,17.27641136,12.71620491,7.073491895,5.978597704,8.239765428,10.62141246,11.6997009,7.849284692,0
S34,6.332837213,7.406047651,5.422122976,10.21837358,8.878751032,9.411227668,7.800808331,12.93233141,6.240354038,6.030020807,5.707143437,10.31102986,4.523524573,5.518909875,0
S35,8.180783585,3.623343194,4.887965965,5.01287726,7.967837538,21.12924461,11.75391695,14.89902147,7.140405237,7.34232421,5.490825731,6.938504901,9.979848274,6.172455897,0
S36,9.034327062,1.279769697,3.962971432,4.327765436,10.80099225,11.6098489,5.987773372,8.843677063,6.298777555,5.125608401,6.43066878,10.08747176,8.739867021,8.092356932,0
S37,7.499511945,5.822795154,4.18517909,7.114151647,6.754999538,6.677428578,9.524023031,8.187482375,5.186608016,7.812562283,6.964446752,9.53792135,12.23187545,9.323938368,0
S38,7.18589178,7.73182265,5.120007778,9.999788657,8.273154349,9.210806517,12.57709425,7.016548923,6.100924262,7.775813016,7.17505016,6.724806155,7.631058779,6.731336907,0
S39,7.357587295,3.097541979,5.039840371,8.354026629,7.31912611,18.97536697,12.94978415,13.54821705,6.273714747,5.796186709,7.50407694,8.86506441,10.32122265,8.009582512,0
S40,6.97535724,5.108143802,5.47699382,5.946482018,9.247819903,-2.716805407,8.521509022,7.894651907,5.85667101,3.579136353,6.089405172,6.769268689,4.00321446,7.361220555,0
S41,6.48553496,5.597978003,4.540964402,6.678550503,7.703269289,17.32331788,13.56509859,10.79347566,6.689953814,7.823787536,8.610466302,10.04972715,10.40873639,8.531180837,0
S42,6.776147446,6.367461042,3.762690696,4.551689023,8.288009057,9.034398822,13.93997646,9.300876198,5.463809676,5.423755519,7.462755212,6.701589995,8.597182479,7.779349234,0
S43,6.300681341,5.895050567,5.067296548,5.576500559,8.507223044,17.10834952,15.3100742,12.35658285,6.780717748,6.224123107,7.996384792,9.922449239,7.035691939,6.223444293,0
S44,7.147213075,5.794277087,3.99891544,6.208575049,9.855074926,10.58219448,12.54789916,8.787218777,6.364351617,2.299521914,7.752159892,6.706658009,8.736318761,9.024673556,0
S45,6.152564237,5.182499725,4.652865815,7.15457485,5.165952974,12.60356882,13.11112009,14.18487999,6.911874577,9.5019068,6.473783406,10.71385149,8.730319604,7.684256494,0
S46,8.025027898,4.112418277,4.877744348,3.813121677,6.686605328,23.02798252,17.87038312,9.253841064,7.10267294,6.708417771,8.995444285,11.79594485,10.71170435,8.79501183,0
S47,7.301109483,2.733935228,3.474887227,0.971672751,5.920560388,24.39413562,16.77362961,6.763393051,7.336922331,9.39967465,6.473783406,10.47021492,6.882980021,8.956633798,0
S48,4.577995071,1.721894163,3.420215083,1.042245951,7.865969022,25.15332493,10.59666563,13.43751992,7.065891087,8.529115588,7.156230277,10.64990068,6.859774239,9.642660484,0
S49,5.249243311,4.906541917,4.447794064,8.317465112,8.160425337,22.65921031,18.46195807,15.29834107,7.114970872,9.698340515,8.040294895,9.795065683,9.459096523,7.912487017,0
S50,6.236358121,5.341721031,3.887046702,5.989141514,9.647992009,27.87526207,15.96222669,9.911070794,7.422891877,8.893689801,7.28142081,9.929579918,9.576276129,8.651587915,0
S51,5.134464733,3.830303875,3.735965911,3.199877167,6.925311112,23.81477718,16.24121015,12.44022181,6.610040623,9.158735475,5.889827888,11.16503571,8.775551292,7.548672828,0
S52,8.431371438,7.441319792,5.536552492,14.2420172,9.460750098,9.674850273,4.156377199,6.656480742,6.84342826,5.429606601,7.45170365,6.674239018,8.012734325,6.382035909,0
S53,7.755297644,1.073811556,3.635795896,-3.069152499,7.941886115,25.81665077,11.37582264,12.39356055,7.396023211,8.343810396,7.461482938,12.20558239,10.00461782,9.329178287,0
